adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
"ADJ-E","ethics_safety","EC05","moderate","high","Хоолны дохионы реактив байдлыг ерөнхий хоолны бодлын дарамттай андуурч болно.","none","none","moderate","moderate","moderate","none","retain","low","","Анхаарал сарнилтыг эмзэг preoccupation-оос ялгах босго шийдэгдээгүй.","Safety ratings split 13 at 3 and 11 at 4; no persona flagged shame and all found the scale usable.","true"
"ADJ-E","ethics_safety","EC06","moderate","moderate","Харах эсвэл үнэрлэх хоёр дохио болон анхаарлаа буцаах чадварыг нэгтгэнэ.","low","none","high","low","moderate","high","minor_rewrite","medium","Хоол харах эсвэл үнэртэх үед анхаарлаа өөр зүйлд буцаасан.","Эерэг чиглэл нь бодит disengagement-ийг desirability-гаас ялгаж чадах эсэх шийдэгдээгүй.","All 6 personas saw an obvious desirable answer; 23/24 roles flagged moderate or high reverse risk.","true"
"ADJ-E","ethics_safety","UC01","high","high","Хүссэн үедээ гэдэг нь ямар зогсох цэгийг хэлэх нь тодорхойгүй.","none","none","moderate","moderate","low","none","retain","low","","Зогсоход хэцүү байдлын босгыг ёс суртахууны үнэлгээгүйгээр тогтоох нь шийдэгдээгүй.","21/24 roles rated safety 3 and 22/24 retained; 2/6 personas flagged judgment and 3/6 desirability.","true"
"ADJ-E","ethics_safety","UC02","moderate","moderate","Анх бодсон хэмжээ нь урьдчилсан төлөвлөгөө эсвэл агшин зуурын төсөөлөл байж болно.","low","none","moderate","moderate","moderate","none","minor_rewrite","low","Идэхээр бодсон хэмжээнээсээ илүү идсэн.","Төлөвлөсөн хэмжээ байхгүй үед non-applicability хэрэгтэй эсэх нь шийдэгдээгүй.","22/24 roles rated safety 3; 4/6 personas marked the amount anchor ambiguous and 3/6 saw desirability.","true"
"ADJ-E","ethics_safety","UC03","high","high","Үргэлжлүүлэн идэхийг uncontrolled eating эсвэл цадалтын дохио ашиглаагүйтэй адилтгаж болно.","none","none","moderate","moderate","moderate","none","retain","low","","Momentum ба satiety-signal use-ийг салгах шаардлага шийдэгдээгүй.","23/24 roles rated safety 3 and 19/24 retained; 2/6 personas flagged judgment and all understood the behavior.","true"
"ADJ-E","ethics_safety","UC04","moderate","moderate","Өөрөө удирдаж чадахгүй гэдэг нь түр зуурын бэрхшээлийг бүрэн хяналтгүй гэсэн шошго болгож болно.","none","none","moderate","high","moderate","none","major_rewrite","high","Идэж байх үедээ зогсоох эсэхээ өөрөө шийдэхэд хэцүү санагдсан.","Хяналт алдалтын facet-ийг туйлшруулалгүй хадгалж болох эсэх нь шийдэгдээгүй.","6/24 roles rated safety 2, 7/24 flagged high shame risk, and 4/6 personas marked the item judgmental or shaming.","true"
"ADJ-E","ethics_safety","UC05","high","moderate","Багахан гэдэг нь тогтсон хэмжээ биш бөгөөд үргэлжлүүлэх босго өөр байж болно.","none","none","moderate","moderate","moderate","none","retain","low","","Анхны хэмжээг тодорхойлохгүйгээр unplanned continuation хэмжигдэх эсэх нь шийдэгдээгүй.","22/24 roles rated safety 3 and 18/24 retained; 3/6 personas saw an obvious desirable answer.","true"
"ADJ-E","ethics_safety","UC06","moderate","high","Түр зогсох ба үргэлжлүүлэх эсэхээ бодох гэсэн хоёр үйлдэл нэг хариултад орсон.","none","none","moderate","moderate","moderate","high","minor_rewrite","medium","Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогссон.","Pause capacity нь mindful awareness-тай давхцах хэмжээг тогтоох шаардлагатай.","23/24 roles flagged moderate or high reverse risk and 5/6 personas saw an obvious desirable answer.","true"
"ADJ-E","ethics_safety","RR01","high","moderate","Төлөвлөгөө нурсан гэсэн зүйрлэл болон хоолны дүрэмгүй хүмүүст хамаарахгүй байдал давамгай.","moderate","none","moderate","high","moderate","none","minor_rewrite","high","Хоолны дүрмээс багахан зөрөхөд төлөвлөгөө бүхэлдээ алдагдсан мэт санагдсан.","Non-applicability сонголт шаардлагатай эсэх ба rigid-rule facet-ийг яаж хадгалах нь шийдэгдээгүй.","8/24 roles flagged high shame risk; 3/6 personas reported missing non-applicability and 2/6 flagged judgment.","true"
"ADJ-E","ethics_safety","RR02","high","high","Зарим хоол болон дүрмийн хүрээ тодорхойгүй ч хориглох үйлдэл нийтлэг ойлгогдсон.","none","none","moderate","moderate","low","none","retain","medium","","Хориглох дүрэм нь эмнэлгийн эсвэл соёлын шаардлагатай хязгаарлалтаас ялгарах эсэх шийдэгдээгүй.","21/24 roles rated safety 3 and 20/24 retained; 3/24 flagged high shame risk and 2/6 personas flagged judgment.","true"
"ADJ-E","ethics_safety","RR03","high","high","Бүтэлгүй гэсэн үг нь all-or-nothing үнэлгээг хэмжихийн зэрэгцээ хариулагчийг шүүж болно.","none","none","high","high","low","none","major_rewrite","high","Төлөвлөгөөгөө яг дагаагүй үед тэр өдрийн төлөвлөгөө цааш үргэлжлэхгүй мэт санагдсан.","Dichotomous evaluation-ийг failure хэллэггүйгээр хадгалж болох эсэх нь шийдэгдээгүй.","All 6 personas flagged judgment, 5/6 saw an obvious desirable answer, and 17/24 roles flagged high shame risk.","true"
"ADJ-E","ethics_safety","RR04","moderate","low","Үлдсэн өдрөө хяналтгүй орхисон нь хоолны төлөвлөгөө, идэх хэмжээ, эсвэл өөрийгөө хянах чадварын аль нь болохыг бүдгэрүүлнэ.","moderate","low","moderate","high","high","none","major_rewrite","critical","Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдөр хоолны төлөвлөгөөгөө дагахаа больсон.","Restrictive rebound-ийг uncontrolled eating-ээс салгаж хэмжих боломж шийдэгдээгүй.","9/24 roles rated safety 2, 16/24 flagged high shame, and 5/6 personas marked the wording judgmental or shaming.","true"
"ADJ-E","ethics_safety","RR05","high","moderate","Дүрмээ улам чангалсан гэдэг нь ямар өөрчлөлт хийснийг тодорхойлохгүй.","low","none","moderate","moderate","moderate","none","minor_rewrite","medium","Төлөвлөснөөс өөр идсэний дараа маргаашийн хоолны дүрмээ илүү хатуу болгосон.","Tightening-ийг нөхөн төлөх эрсдэлтэй зан үйлээс ялгах босго шийдэгдээгүй.","22/24 roles retained, but 20/24 flagged moderate shame and 3/6 personas flagged judgment.","true"
"ADJ-E","ethics_safety","RR06","moderate","low","Хэвийн хэмнэл нь нормчлох утгатай бөгөөд төлөвлөгөөгүй хүнд хамаарахгүй.","moderate","none","high","moderate","moderate","high","minor_rewrite","high","Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөснөөрөө хооллосон.","Төлөвлөгөөгүй хариулагчдад non-applicability өгөх эсэх нь шийдэгдээгүй.","All 6 personas marked хэвийн хэмнэл ambiguous; 3/6 said options did not fit and 22/24 roles flagged moderate or high reverse risk.","true"
"ADJ-E","ethics_safety","HS01","high","moderate","Биеийн дохио нь тодорхой бус бөгөөд зөв цагт анзаарах чадварыг desirable болгож болно.","low","none","high","low","low","moderate","minor_rewrite","medium","Өлсөлт ихсэхээс өмнө өлсөж байгаагаа анзаарсан.","Эрт өлсөлтийн босгыг тодорхойлох шаардлага шийдэгдээгүй.","5/6 personas saw an obvious desirable answer and all 6 marked биеийн дохио ambiguous; all roles rated safety 4.","true"
"ADJ-E","ethics_safety","HS02","high","moderate","Идэх хүсэл ба биеэр өлсөхийг чадсан гэсэн үнэлгээтэй холбож болно.","low","none","high","low","moderate","moderate","minor_rewrite","medium","Идэх хүсэл төрөх үед биеэр өлссөн эсэхээ ялгасан.","Hunger discrimination-ийг virtue framing-гүйгээр асуух хэлбэр шийдэгдээгүй.","All 6 personas saw an obvious desirable answer; all 24 roles rated safety 4 and 21/24 retained.","true"
"ADJ-E","ethics_safety","HS03","moderate","moderate","Бие их сульдахыг өлсөлтийн зайлшгүй эсвэл аюултай шинж гэж ойлгож болно.","none","none","low","low","moderate","none","minor_rewrite","medium","Өлссөнөө нэлээд хожуу анзаарсан.","Late-hunger facet-д бие сулрах шинж зайлшгүй хэрэгтэй эсэх нь шийдэгдээгүй.","21/24 roles rated clarity 4, while 5/6 personas did not flag desirability and several marked the weakness phrase ambiguous.","true"
"ADJ-E","ethics_safety","HS04","moderate","moderate","Тав тухтай цадсан гэсэн төлөвийг хувь хүн бүр өөрөөр ойлгоно.","low","none","high","low","low","moderate","minor_rewrite","medium","Идэж байхдаа хангалттай цадсанаа анзаарсан.","Comfortable fullness-ийн хэлний босгыг empirical testing-ээр тогтоох шаардлагатай.","5/6 personas saw an obvious desirable answer and all 6 marked the fullness phrase ambiguous; all roles rated safety 4.","true"
"ADJ-E","ethics_safety","HS05","high","high","none","none","none","low","low","low","none","retain","none","","Цадалтын эргэлзээний давтамжийг ердийн хэлбэлзлээс ялгах босго шийдэгдээгүй.","All 24 roles rated safety 4 and 23/24 retained; no persona flagged shame or desirability.","true"
"ADJ-E","ethics_safety","HS06","moderate","low","Идэхээ эхлэх ба зогсоохыг нэгтгэж хоёр өөр биеийн дохиог адилтгана.","moderate","none","low","low","moderate","none","major_rewrite","medium","Биеийн өлсөх дохио тодорхой байсан ч идэж эхлэх эсэхээ шийдэхдээ ашиглаагүй.","Эхлэх ба зогсоох үйлдлийг тусдаа item болгох эсэх нь шийдэгдээгүй.","All 6 personas said the item asks more than one thing; 20/24 roles preferred a rewrite and 22/24 flagged moderate overlap.","true"
"ADJ-E","ethics_safety","SE01","moderate","low","Уян хатан хоолны төлөвлөгөө тодорхойгүй бөгөөд төлөвлөгөөгүй хүнд хамаарахгүй.","moderate","moderate","high","low","moderate","none","minor_rewrite","high","Стресстэй өдөр хоолны төлөвлөгөөгөө хэрэгжүүлэхэд хэр итгэлтэй байсан бэ?","Retrospective confidence ба non-applicability-ийг нэг scale-д яаж зохицуулах нь шийдэгдээгүй.","All 6 personas saw a desirable answer, 5/6 marked the plan phrase ambiguous, and 3/6 said options did not fit.","true"
"ADJ-E","ethics_safety","SE02","low","moderate","Өөрт тохирох боломжит хоол нь хүртээмж, эрүүл гэж үзэх байдал, эсвэл хувийн сонголтын аль нь болох нь бүдэг.","low","moderate","high","low","moderate","none","minor_rewrite","medium","Зав багатай үед боломжтой хоолны сонголт хийхэд хэр итгэлтэй байсан бэ?","Өнгөрсөн 14 хоногийн confidence-ийг тухайн нөхцөлд тохиолдсон өдрөөр хязгаарлах эсэх шийдэгдээгүй.","Roles split 12 minor rewrite and 11 retain; 5/6 personas saw an obvious desirable answer.","true"
"ADJ-E","ethics_safety","SE03","moderate","high","Тайван сонголт нь сонголт хийх чадвар ба сэтгэл хөдлөлийн тайван байдлыг нэгтгэнэ.","low","moderate","high","low","moderate","none","minor_rewrite","medium","Бусадтай хамт хооллох үед өөрийн хоолны сонголтоо хийхэд хэр итгэлтэй байсан бэ?","Social eating self-efficacy-гээс composure-ийг салгах шаардлага шийдэгдээгүй.","All 6 personas saw an obvious desirable answer; 23/24 roles flagged moderate social-desirability risk.","true"
"ADJ-E","ethics_safety","SE04","moderate","high","Бодох ба сонгох хоёр үйлдэл нэг confidence үнэлгээнд орно.","low","low","high","low","moderate","none","minor_rewrite","medium","Идэх зүйл ойрхон үед идэх эсэхээ сонгоход хэр итгэлтэй байсан бэ?","Cue resistance ба deliberate choice-ийг тусдаа facet болгох эсэх нь шийдэгдээгүй.","All 6 personas saw an obvious desirable answer; 18/24 roles flagged moderate overlap.","true"
"ADJ-E","ethics_safety","SE05","low","low","Дараагийн боломж тодорхойгүй бөгөөд төлөвлөгөөгүй хүнд confidence scale хамаарахгүй.","high","moderate","high","moderate","moderate","none","minor_rewrite","high","Төлөвлөснөөс өөр идсэний дараа дараагийн хоолны төлөвлөгөөгөө үргэлжлүүлэхэд хэр итгэлтэй байсан бэ?","Non-applicability болон retrospective confidence-ийг яаж оношлохгүйгээр ашиглах нь шийдэгдээгүй.","5/6 personas reported missing non-applicability, 4/6 said options did not fit, and 4/6 saw a desirable answer.","true"
"ADJ-E","ethics_safety","SE06","low","low","Хамгийн жижиг хувилбар гэдэг нь ямар хооллох үйлдлийг хэлэхгүй.","moderate","moderate","high","low","moderate","none","major_rewrite","high","Ядарсан үедээ өөрт боломжтой хоолны сонголт хийхэд хэр итгэлтэй байсан бэ?","Тодорхой eating action сонгох нь fatigue self-efficacy facet-ийг хэт нарийсгах эсэх шийдэгдээгүй.","All 6 personas marked the same phrase ambiguous and saw an obvious desirable answer; roles split across four dispositions.","true"
"ADJ-E","ethics_safety","HA01","high","moderate","Тодорхой цаг эсвэл газар гэсэн хоёр нөхцөл болон гараа сунгасан зүйрлэл ялгаатай тайлбарлагдана.","none","none","low","low","moderate","none","retain","low","","Автомат эхлэлд цаг ба газрыг хамтад нь хадгалах эсэх нь шийдэгдээгүй.","23/24 roles rated safety 4 and 18/24 retained; no persona flagged shame.","true"
"ADJ-E","ethics_safety","HA02","moderate","moderate","Нэг үйлдэл болон автоматаар үргэлжилдэг дараалал нь ямар trigger болохыг хэлэхгүй.","low","none","low","low","moderate","none","major_rewrite","medium","Тогтсон нэг үйлдлийн дараа бодолгүйгээр юм иддэг болсон.","Sequence automaticity-ийг нэг тодорхой trigger-ээр хязгаарлах эсэх нь шийдэгдээгүй.","21/24 roles preferred a rewrite; no persona flagged shame or desirability, but the initiating action was repeatedly ambiguous.","true"
"ADJ-E","ethics_safety","HA03","moderate","moderate","Хэдийн эхэлсний дараа хэллэг нь хугацаа болон awareness lag-ийг бүдгэрүүлнэ.","none","none","low","low","low","none","minor_rewrite","medium","Юм идэж эхэлснээ хэсэг хугацааны дараа анзаарсан.","Awareness lag-ийн хугацааг тодорхойлох шаардлага шийдэгдээгүй.","6/6 personas marked хэдийн эхэлсний дараа ambiguous; 23/24 roles rated safety 4.","true"
"ADJ-E","ethics_safety","HA04","low","moderate","Идэх үйлдэл өөрөө эхэлдэг мэт гэдэг нь agency-г үгүйсгэсэн зүйрлэл болж болно.","none","none","low","low","moderate","none","minor_rewrite","medium","Танил орчинд ороход бодолгүйгээр юм идэж эхэлсэн.","Context trigger-ийг танил орчноос өөр нөхцөлд generalize хийх эсэх нь шийдэгдээгүй.","Roles split 12 retain and 12 minor rewrite; 4/6 personas marked the self-start phrase ambiguous.","true"
"ADJ-E","ethics_safety","HA05","high","moderate","Үнэхээр хүсэж байгаа эсэх нь хүсэл зөв эсвэл буруу гэсэн үнэлгээ мэт сонсогдоно.","low","none","low","low","moderate","none","minor_rewrite","medium","Зууш авахын өмнө идэхийг хүсэж байгаагаа бодолгүй сонгосон.","Desire awareness ба low deliberation-ийг салгах шаардлага шийдэгдээгүй.","5/6 personas marked үнэхээр хүсэж байгаа ambiguous; 22/24 roles rated safety 4.","true"
"ADJ-E","ethics_safety","HA06","moderate","moderate","Давтагддаг нөхцөл тодорхойгүй бөгөөд зориуд хийсэн нь зөв зан үйл мэт сонсогдоно.","low","none","high","low","moderate","high","minor_rewrite","medium","Давтагддаг нөхцөлд идэх эсэхээ урьдчилан сонгосон.","Deliberate choice-ийг social desirability-гаас ялгах боломж шийдэгдээгүй.","All 6 personas saw an obvious desirable answer and marked the context phrase ambiguous; 23/24 roles flagged moderate or high reverse risk.","true"
"ADJ-E","ethics_safety","BI01","high","high","Биеийн төрхөд санаа зовох ба зураг авахуулахгүй байх шалтгааныг нэг шалтгаан болгож болно.","low","none","moderate","high","low","none","minor_rewrite","high","Биеийн төрхдөө санаа зовсон үед зураг авахуулаагүй.","Биеийн төрхийн зовнилыг бусад privacy шалтгаанаас ялгах боломж шийдэгдээгүй.","24/24 roles flagged moderate or high shame risk and 4/6 personas marked the item judgmental or shaming.","true"
"ADJ-E","ethics_safety","BI02","high","high","Биеэ харах эвгүй гэдэг нь body-image discomfort болон ерөнхий толь ашиглахгүй байдлыг ялгахгүй.","none","none","moderate","high","low","none","minor_rewrite","high","Биеийнхээ төрхөд тавгүй байсан үед толь хараагүй.","Толины хүртээмж ба avoidance-ийг ялгах non-applicability шаардлага шийдэгдээгүй.","24/24 roles flagged moderate or high shame risk and 4/6 personas flagged judgment.","true"
"ADJ-E","ethics_safety","BI03","high","high","Өмсөхийг хүссэн хувцас нь хүртээмж, тохироо, эсвэл body concern-оос шалтгаалж болно.","none","none","moderate","high","low","none","minor_rewrite","high","Биеийн төрхдөө санаа зовсон үед хүссэн хувцсаа сонгоогүй.","Хувцасны хүртээмжийн өөр шалтгааныг хэрхэн салгах нь шийдэгдээгүй.","24/24 roles flagged moderate or high shame risk and 3/6 personas flagged judgment.","true"
"ADJ-E","ethics_safety","BI04","high","moderate","Хүмүүстэй хийх үйл ажиллагаа тодорхойгүй бөгөөд татгалзсан шалтгаан олон байж болно.","none","none","moderate","high","moderate","none","minor_rewrite","high","Биеийн төрхдөө санаа зовсон үед хүмүүстэй хамт хийх үйл ажиллагаанд оролцоогүй.","Body-image avoidance-ийг social anxiety болон access barriers-аас ялгах нь шийдэгдээгүй.","24/24 roles flagged moderate or high shame risk and 5/6 personas marked the item judgmental or shaming.","true"
"ADJ-E","ethics_safety","BI05","high","moderate","Хөдөлгөөн хийх нь дасгал эсвэл өдөр тутмын хөдөлгөөн байж болох бөгөөд бусдын харц agency-г бууруулна.","low","none","moderate","high","moderate","none","major_rewrite","critical","Биеийн төрхдөө санаа зовсон үед бусдын дэргэд хөдөлгөөн хийхээс зайлсхийсэн.","Movement participation-ийг body surveillance болон бусад access barriers-аас салгах нь шийдэгдээгүй.","1/24 role rated safety 1, 9/24 flagged high shame, and 4/6 personas flagged both judgment and an obvious desirable answer.","true"
"ADJ-E","ethics_safety","BI06","moderate","low","Хүссэн үйл ажиллагаа тодорхойгүй бөгөөд оролцсон нь зөв хариулт мэт сонсогдоно.","moderate","none","high","moderate","moderate","high","minor_rewrite","high","Биеийнхээ талаар тавгүй байсан үед хүссэн үйл ажиллагаандаа оролцсон.","Non-applicability болон positive-direction response bias-ийг яаж зохицуулах нь шийдэгдээгүй.","5/6 personas saw an obvious desirable answer and reported missing non-applicability; 23/24 roles flagged moderate or high reverse risk.","true"
"ADJ-E","ethics_safety","IM01","high","moderate","Төлөвлөгөө юунд хамаарах нь тодорхойгүй.","low","none","low","low","low","none","retain","low","","Ерөнхий төлөвлөгөөний wording eating-specific construct-ийг хангалттай барих эсэх нь шийдэгдээгүй.","All 24 roles rated safety 4 and 21/24 retained; all 6 personas marked төлөвлөгөө ambiguous.","true"
"ADJ-E","ethics_safety","IM02","high","moderate","Олон бэлтгэл гэсэн босго болон төлөвлөгөөний төрөл тодорхойгүй.","moderate","none","low","low","low","none","minor_rewrite","low","Олон зүйл урьдчилан бэлтгэх шаардлагатайгаас төлөвлөгөөгөө хойшлуулсан.","Бэлтгэлийн ачааллыг тоо эсвэл subjective burden-ээр хэмжих нь шийдэгдээгүй.","All 24 roles rated safety 4; 3/6 personas reported missing non-applicability and 2/6 said options did not fit.","true"
"ADJ-E","ethics_safety","IM03","low","low","Хамгийн жижиг хувилбар нь тодорхой үйлдэлгүй бөгөөд бэлэн байсан нь desirable чадвар мэт сонсогдоно.","moderate","none","high","low","moderate","moderate","major_rewrite","high","Завгүй өдөр хэрэгжүүлэхээр урьдчилан сонгосон энгийн алхам надад байсан.","Minimum version-ийг eating-specific болгох эсэх нь шийдэгдээгүй.","All 6 personas marked the phrase ambiguous, 5/6 saw a desirable answer, and roles split across four dispositions.","true"
"ADJ-E","ethics_safety","IM04","high","moderate","Төлөвлөгөө тэр чигтээ тасарсан нь all-or-nothing утга болон non-applicability үүсгэнэ.","moderate","none","moderate","low","low","none","minor_rewrite","medium","Өдрийн хуваарь өөрчлөгдөхөд төлөвлөгөөгөө үргэлжлүүлээгүй.","Disruption facet-д нийт төлөвлөгөө тасрах туйлшрал хэрэгтэй эсэх нь шийдэгдээгүй.","19/24 roles retained, but 3/6 personas reported missing non-applicability and 4/6 marked the whole-plan phrase ambiguous.","true"
"ADJ-E","ethics_safety","IM05","high","moderate","Юуг алгассан болон дараагийн боломж хэзээ болох нь тодорхойгүй.","moderate","none","high","low","low","moderate","minor_rewrite","medium","Төлөвлөгөөний нэг алхмыг алгассан ч дараагийн товлосон үедээ үргэлжлүүлсэн.","Positive resumption-ийг non-applicability болон desirability-гаас ялгах нь шийдэгдээгүй.","5/6 personas saw an obvious desirable answer; 4/6 reported missing non-applicability and 5/24 roles flagged high reverse risk.","true"
"ADJ-E","ethics_safety","IM06","high","low","Хийж чадсан зүйл гэдэг нь ямар үйлдэл болон ямар давтамжийг хэлэхгүй.","moderate","none","moderate","low","low","none","minor_rewrite","medium","Нэг өдөр хийсэн төлөвлөгөөний алхмаа дараагийн өдрүүдэд давтахад хэцүү байсан.","Repeatability-ийг тодорхой хугацаа болон eating action-аар хязгаарлах эсэх нь шийдэгдээгүй.","All 6 personas marked the action phrase ambiguous; 3/6 said options did not fit while all roles rated safety 4.","true"
"ADJ-E","ethics_safety","AC01","low","high","Хариултын чанар шалгах гэсэн тайлбар нь давтамжийн item биш бөгөөд хариулагчийг хянаж байгаа мэт болгож болно.","high","moderate","low","moderate","low","none","major_rewrite","critical","Энэ асуултад «Заримдаа»-г сонгоно уу.","Алдсан attention check-ийг хариултын чанар эсвэл хасалтын үндэслэл болгон ашиглах ёс зүйн зөвшөөрөл шийдэгдээгүй.","Scale suitability ranged from 1 to 4 across roles; dispositions spanned all five values although all personas followed the instruction.","true"
"ADJ-E","ethics_safety","AC02","low","moderate","Нэг ижил хариулт сонгох шаардлагатай мэт санагдах нь response pattern, perceived instruction, эсвэл fatigue байж болно.","moderate","low","low","low","moderate","none","hold","high","","Энэ item-ийг data-quality inference-д ашиглах эсэх болон legitimate same responses-ийг ялгах дүрэм шийдэгдээгүй.","Roles split across retain, rewrite, and hold; 13/24 rated purity 3 and 8/24 rated purity 2, while personas did not flag shame.","true"
