adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,persona_correct_paraphrase_count,persona_misinterpretation_count,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
ADJ-S,synthesis,EC05,moderate,high,6,0,Distraction can include general preoccupation,none,none,low,low,high,none,retain,low,,Whether the intended facet is attention disruption or food preoccupation,All paraphrases preserved food thoughts disrupting activity; experts noted high adjacent overlap but mostly retained,true
ADJ-S,synthesis,EC06,moderate,moderate,5,1,Visual and smell cues are combined with successful redirection,low,low,high,low,moderate,high,minor_rewrite,medium,Хоол харсан үед анхаарлаа өөр зүйлд буцааж чадсан.,Whether both cue types are needed for the facet,Personas marked the positive response socially desirable and some identified two cue types,true
ADJ-S,synthesis,UC01,high,high,6,0,Хүссэн үедээ has variable threshold meaning,none,none,moderate,moderate,low,none,retain,none,,Whether stopping difficulty requires an amount threshold,All paraphrases described difficulty stopping after starting; experts strongly retained,true
ADJ-S,synthesis,UC02,moderate,moderate,5,1,Анх бодсоноосоо can mean planned amount or expectation,none,none,moderate,low,moderate,none,minor_rewrite,low,Эхэндээ иднэ гэж бодсоноосоо илүү идсэн.,Whether an intended amount should be specified,Personas generally preserved the meaning but several marked the comparison point unclear,true
ADJ-S,synthesis,UC03,high,high,6,0,none,none,none,moderate,moderate,moderate,none,retain,none,,Whether satiety awareness and continuation should be separated,All paraphrases directly preserved noticing fullness and continuing; experts mostly retained,true
ADJ-S,synthesis,UC04,moderate,moderate,5,1,Өөрөө удирдаж чадахгүй may imply severe loss of control,none,none,moderate,moderate,moderate,none,minor_rewrite,medium,Идэж байхдаа зогсоох эсвэл үргэлжлүүлэхээ удирдахад хэцүү байсан.,Whether subjective control language is acceptable at this severity,All personas preserved the control theme but all marked the core phrase ambiguous and several flagged shame,true
ADJ-S,synthesis,UC05,high,moderate,6,0,Багахан is an imprecise amount,none,none,moderate,low,moderate,none,retain,low,,Whether a small intended amount needs definition,All paraphrases retained the intended-small-then-continued sequence; experts mostly retained,true
ADJ-S,synthesis,UC06,moderate,moderate,5,1,Pause and deciding can be read as two actions,none,none,high,low,moderate,high,minor_rewrite,medium,Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогсож чадсан.,Whether pause capacity should be separated from deliberation,Personas generally retained the meaning while experts noted reverse and mindful-awareness overlap,true
ADJ-S,synthesis,RR01,moderate,moderate,5,1,Rules and plan collapse are not applicable to everyone,moderate,none,moderate,moderate,moderate,none,minor_rewrite,medium,Хоолны дүрмээс багахан зөрөхөд бүх зүйл бүтэлгүйтсэн мэт санагдсан.,Whether respondents without food rules require a non-applicable path,Two personas lacked fitting options and three identified missing non-applicability,true
ADJ-S,synthesis,RR02,high,moderate,6,0,Бүрэн хориглох can vary in strictness,none,none,moderate,moderate,low,none,retain,none,,Whether prohibition is distinguished from ordinary preference,All paraphrases preserved self-imposed food prohibition and experts mostly retained,true
ADJ-S,synthesis,RR03,high,moderate,5,1,Plan adherence and self-evaluation are combined,low,none,high,high,low,none,minor_rewrite,medium,Төлөвлөгөөгөө яг дагаагүй өдрөө бүтэлгүйтсэн гэж үзсэн.,Whether evaluative rigidity is intended rather than plan adherence,Every persona marked shame and most marked social desirability; experts still mostly retained,true
ADJ-S,synthesis,RR04,low,low,3,3,Deviation and abandoning the whole day are multiple linked events,moderate,low,moderate,high,high,none,major_rewrite,high,Төлөвлөснөөс өөр идсэний дараа тэр өдрийн төлөвлөгөөгөө орхисон.,Whether the item should measure rebound sequence or loss of control,Four personas flagged more than one thing and experts mainly favored major rewrite,true
ADJ-S,synthesis,RR05,high,moderate,5,1,Хазайх and tightening rules are broad,none,none,moderate,moderate,moderate,none,retain,low,,Whether next-day tightening is the desired rebound behavior,All paraphrases preserved post-deviation rule tightening though all noted wording ambiguity,true
ADJ-S,synthesis,RR06,moderate,moderate,4,2,Normal rhythm and resumption are not applicable without a plan,moderate,none,moderate,low,moderate,high,minor_rewrite,medium,Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо хэвийн хооллолтдоо орсон.,Whether this positive item needs a non-applicable response,Three personas found options unfitting and experts noted reverse response concerns,true
ADJ-S,synthesis,HS01,moderate,moderate,5,1,Биеийн дохио and excessively strong hunger are broad,low,none,high,low,low,high,minor_rewrite,low,Өлсөлт хэт хүчтэй болохоос өмнө өлсөж байгаагаа анзаарсан.,Whether general bodily signals are intended beyond hunger,All paraphrases retained early hunger awareness but all marked the signal phrase ambiguous,true
ADJ-S,synthesis,HS02,high,moderate,5,1,Идэх хүсэл and hunger can be difficult to distinguish,none,none,high,low,moderate,high,retain,low,,Whether desire-hunger discrimination is the intended capability,All personas preserved the distinction while all identified an obvious positive response,true
ADJ-S,synthesis,HS03,moderate,moderate,5,1,Бие сульдах can reflect causes other than hunger,none,none,low,low,moderate,none,minor_rewrite,low,Өлссөнөө маш их сульдсаны дараа л анзаарсан.,Whether fatigue is an intended hunger cue,Personas generally retained late hunger awareness but most marked the fatigue phrase ambiguous,true
ADJ-S,synthesis,HS04,moderate,moderate,5,1,Тав тухтай цадсан is subjective,none,none,high,low,low,high,minor_rewrite,low,Идэж байхдаа таатайгаар цадсан мөчөө анзаарсан.,Whether comfortable fullness can be standardized in wording,All personas preserved fullness awareness but each identified the subjective fullness phrase,true
ADJ-S,synthesis,HS05,high,high,6,0,none,none,none,low,low,low,none,retain,none,,Whether uncertainty about fullness needs contextual detail,All paraphrases directly described uncertainty about fullness and experts uniformly retained,true
ADJ-S,synthesis,HS06,low,low,3,3,Signal clarity and using it for start or stop are multiple decisions,moderate,none,moderate,low,high,low,major_rewrite,high,Биеийн дохиогоо идэж эхлэх эсвэл зогсоохдоо ашиглаж чадаагүй.,Whether starting and stopping should be separate items,Every persona flagged multiple content and experts favored rewriting,true
ADJ-S,synthesis,SE01,moderate,moderate,4,2,Past-period confidence and flexible plan are difficult to anchor,moderate,moderate,high,low,moderate,none,minor_rewrite,high,Стресстэй өдөр хоолны төлөвлөгөөгөө дагаж чадна гэдэгтээ хэр итгэлтэй вэ?,Whether self-efficacy should use current confidence rather than 14-day recall,Experts split on recall suitability and four personas lacked a fitting non-applicable option,true
ADJ-S,synthesis,SE02,moderate,moderate,5,1,Possible choice is unspecified and confidence is recalled,low,moderate,high,low,moderate,none,minor_rewrite,medium,Зав багатай үед хоолны тохирох сонголт хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Whether current confidence can replace recalled confidence,Experts split evenly on recall suitability and all personas marked wording ambiguity,true
ADJ-S,synthesis,SE03,moderate,moderate,5,1,Тайван combines choice with emotional composure,low,moderate,high,low,moderate,none,minor_rewrite,medium,Бусадтай хамт хооллох үед өөрийн сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Whether calmness is part of the self-efficacy facet,All personas treated the response as socially desirable and experts noted the recall-format tension,true
ADJ-S,synthesis,SE04,moderate,moderate,5,1,Thinking and choosing may be two actions,low,moderate,high,low,moderate,none,minor_rewrite,medium,Идэх зүйл ойрхон байсан ч идэх эсэхээ сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Whether deliberation is distinct from self-efficacy,All personas preserved the cue context and experts split on recall suitability,true
ADJ-S,synthesis,SE05,moderate,moderate,4,2,Resumption presumes a plan and a prior deviation,moderate,moderate,moderate,low,moderate,none,minor_rewrite,high,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо эргэн орж чадна гэдэгтээ хэр итгэлтэй вэ?,Whether respondents without a plan require a non-applicable path,Four personas lacked fitting options and experts split on recalled confidence,true
ADJ-S,synthesis,SE06,low,moderate,4,2,Small version is undefined and confidence is recalled,moderate,moderate,high,low,moderate,none,major_rewrite,high,Ядарсан үедээ хийж болох хамгийн энгийн хоолны сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Whether a minimum version can be specified without changing the facet,All personas marked ambiguity and experts predominantly recommended major or minor rewrite,true
ADJ-S,synthesis,HA01,moderate,moderate,5,1,Time and place cues are combined with automatic action,none,none,moderate,low,moderate,none,minor_rewrite,low,Тодорхой газар болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан.,Whether time and place should be separate cue contexts,Two personas flagged multiple content and all identified ambiguity,true
ADJ-S,synthesis,HA02,low,low,3,3,Action sequence and automatic continuation are abstract,moderate,none,low,low,moderate,none,major_rewrite,high,Тодорхой үйлдлийн дараа юм идэх нь өөрөө давтагддаг болсон.,Whether the preceding action must be named,All personas marked ambiguity and experts mostly favored major or minor rewrite,true
ADJ-S,synthesis,HA03,moderate,moderate,5,1,Awareness lag has no clear reference point,none,none,low,low,moderate,none,minor_rewrite,medium,Идэж эхэлснээ хэсэг хугацааны дараа анзаарсан.,Whether delayed awareness needs a time reference,All paraphrases retained the awareness-lag meaning but all identified the timing phrase as ambiguous,true
ADJ-S,synthesis,HA04,moderate,moderate,5,1,Tanil orчин and automatic start are broad,none,none,low,low,moderate,none,minor_rewrite,medium,Танил орчинд байхдаа бодолгүйгээр идэж эхэлсэн.,Whether context-triggered eating should name the context,All personas identified ambiguity and experts were evenly split between retain and minor rewrite,true
ADJ-S,synthesis,HA05,moderate,moderate,5,1,Үнэхээр хүсэх is subjective,low,none,moderate,low,moderate,none,minor_rewrite,low,Зууш авахдаа идэх хүсэлтэй эсэхээ бодолгүй сонгосон.,Whether desire checking is distinct from automatic choice,All personas marked ambiguity while expert dispositions mostly retained,true
ADJ-S,synthesis,HA06,moderate,moderate,5,1,Repeated context and deliberate choice are broad positive concepts,low,none,high,low,moderate,high,minor_rewrite,medium,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо бодож хийсэн.,Whether deliberate choice should be scored as a reverse habit item,All personas identified ambiguity and treated the positive response as socially desirable,true
ADJ-S,synthesis,BI01,high,moderate,5,1,Body concern and photograph avoidance are sensitive,low,none,moderate,high,low,none,retain,low,,Whether the item needs a non-applicable option for no photo occasions,Personas preserved the avoidance meaning; four flagged shame and experts strongly retained,true
ADJ-S,synthesis,BI02,high,moderate,5,1,Feeling uncomfortable seeing the body is sensitive,none,none,moderate,high,low,none,retain,low,,Whether mirror exposure needs contextual specificity,All personas preserved mirror avoidance while several flagged shame and experts strongly retained,true
ADJ-S,synthesis,BI03,high,high,6,0,none,none,none,moderate,high,low,none,retain,none,,Whether clothing-choice avoidance requires a non-applicable option,All paraphrases directly preserved body-image-related clothing avoidance and experts strongly retained,true
ADJ-S,synthesis,BI04,moderate,moderate,5,1,Social activity and withdrawal can be broad,none,none,moderate,high,moderate,none,minor_rewrite,medium,Биеийн төрхдөө санаа зовсноос хүмүүсийн дунд хийх үйл ажиллагаанаас зайлсхийсэн.,Whether social participation should be specified,One persona flagged multiple content and five flagged shame; experts mostly retained,true
ADJ-S,synthesis,BI05,high,moderate,5,1,Movement avoidance may reflect ability or access as well as body concern,low,none,moderate,high,moderate,none,retain,low,,Whether the item should distinguish body concern from physical limitation,Personas preserved the meaning but noted sensitive social-observation language,true
ADJ-S,synthesis,BI06,moderate,moderate,4,2,Desired activity and body discomfort are positive reverse content with non-applicability,moderate,none,high,low,moderate,high,minor_rewrite,medium,Биеийнхээ талаар тавгүй байсан ч хийхийг хүссэн зүйлдээ оролцсон.,Whether a non-applicable option is needed when either condition is absent,Five personas identified missing non-applicability and experts noted reverse concern,true
ADJ-S,synthesis,IM01,high,moderate,5,1,Plan is unspecified and what or when are combined,none,none,moderate,low,low,none,retain,low,,Whether the plan context should be named,All personas marked plan ambiguity but experts strongly retained,true
ADJ-S,synthesis,IM02,moderate,moderate,5,1,Preparation burden and plan are unspecified,moderate,none,low,low,low,none,minor_rewrite,low,Олон бэлтгэл шаардлагатай байсан тул төлөвлөснөө хойшлуулсан.,Whether preparation needs a concrete context,Three personas reported missing non-applicability and experts mostly retained,true
ADJ-S,synthesis,IM03,low,low,3,3,Small version and what is ready are undefined,moderate,low,high,low,moderate,high,major_rewrite,high,Завгүй өдөр хоолны төлөвлөгөөнийхөө хамгийн энгийн хувилбарыг урьдчилж бэлдсэн.,Whether a concrete minimum version can be defined across respondents,All personas marked ambiguity and experts predominantly recommended rewrite,true
ADJ-S,synthesis,IM04,high,moderate,5,1,Entirely stopped and plan are broad,low,none,moderate,low,low,none,retain,low,,Whether plan non-applicability should be addressed,Three personas identified missing non-applicability while experts strongly retained,true
ADJ-S,synthesis,IM05,high,moderate,5,1,Skipping and next opportunity presume an ongoing plan,moderate,low,high,low,moderate,high,minor_rewrite,medium,Нэг удаа төлөвлөгөөгөө алгассан ч дараагийн удаа эргэн үргэлжлүүлсэн.,Whether non-applicability is needed when no plan exists,Two personas lacked a fitting option and experts noted reverse concern,true
ADJ-S,synthesis,IM06,high,moderate,5,1,The repeated action is unspecified,moderate,none,moderate,low,low,none,retain,low,,Whether the item needs an action context,All personas identified ambiguity and several found options unfitting but experts mostly retained,true
ADJ-S,synthesis,AC01,low,high,5,1,Instructional check is not a frequency experience,high,high,low,low,none,none,hold,high,,Whether this check should be outside the scored item bank,Personas followed the instruction but experts disagreed sharply on scale and recall suitability,true
ADJ-S,synthesis,AC02,low,moderate,4,2,Perceived required sameness is unclear without a survey context,moderate,low,low,low,moderate,none,major_rewrite,high,Сүүлийн 14 хоногт асуултуудад ижил хариулт өгөх хэрэгтэй мэт санагдсан.,Whether this item is a response-quality check or substantive perception,Experts dispersed across hold and rewrite dispositions; one persona found the options unfitting,true
