"adjudicator_id","adjudicator_lens","item_key","expert_role_agreement","persona_interpretation_agreement","dominant_misunderstanding","response_scale_mismatch","recall_period_mismatch","social_desirability_concern","shame_concern","construct_overlap_concern","reverse_item_concern","proposed_disposition","revision_priority","candidate_revised_wording","unresolved_scientific_decision","observable_synthesis","synthetic_review_only"
"ADJ-P","psychometric","RR01","high","moderate","A small rule deviation and total plan collapse were sometimes treated as separate events or implementation failure.","moderate","none","high","high","moderate","none","minor_rewrite","medium","Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөөгөө үргэлжлүүлэхэд хэцүү санагдсан.","Human review must decide whether the item targets rigid appraisal or subsequent plan abandonment.","19/24 expert roles retained the item; 3/6 personas needed a non-applicable response and 2/6 found the options mismatched.","true"
"ADJ-P","psychometric","RR02","high","high","Complete prohibition was understood consistently, with variation in which foods count.","none","none","high","high","moderate","none","retain","low","","Human review must decide whether respondent-defined “some foods” is sufficiently specific.","20/24 expert roles retained the item; all 6 personas used the scale.","true"
"ADJ-P","psychometric","RR03","high","high","“Failed day” was read as a moral evaluation and sometimes as abandoning the whole day.","low","none","high","high","moderate","none","minor_rewrite","medium","Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүхэлд нь амжилтгүй болсон мэт үзсэн.","Human review must decide whether moralized failure language is necessary to represent dichotomous evaluation.","20/24 expert roles retained the item; all 6 personas flagged judgment or shame and 5/6 saw an obvious desirable answer.","true"
"ADJ-P","psychometric","RR04","moderate","moderate","“Left the rest of the day uncontrolled” was read as plan abandonment, uncontrolled eating, or moral failure.","moderate","low","high","high","high","none","major_rewrite","critical","Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрийн хоолны төлөвлөгөөгөө дагахаа больсон.","Human review must decide whether rebound is plan abandonment or loss-of-control eating.","12/24 expert roles requested minor rewrite and 9/24 major rewrite; 4/6 personas flagged more than one thing and 5/6 flagged judgment or shame.","true"
"ADJ-P","psychometric","RR05","high","high","Tightening rules was understood consistently, though “rules” and “deviation” remained respondent-defined.","none","low","high","high","moderate","none","retain","low","","Human review must decide whether rule tightening requires a concrete behavioral example.","22/24 expert roles retained the item; all 6 personas used the scale and 4/6 saw an obvious desirable answer.","true"
"ADJ-P","psychometric","RR06","moderate","moderate","Returning to a normal rhythm was read as implementation resumption and “normal” varied by respondent.","moderate","low","high","moderate","moderate","high","hold","high","","Human review must decide whether flexible return belongs in restrictive rebound or implementation maintenance.","14/24 expert roles retained, 8/24 requested minor rewrite, and 2/24 held the item; only 3/6 personas found the response options fitting.","true"
"ADJ-P","psychometric","HS01","high","moderate","“Body signals” was interpreted broadly rather than specifically as early hunger cues.","low","none","moderate","none","low","high","minor_rewrite","low","Өлсөлт хэт хүчтэй болохоос өмнө өлсөж эхэлснээ анзаарсан.","Human review must decide whether naming hunger directly changes the intended interoceptive facet.","18/24 expert roles retained and 6/24 requested minor rewrite; all 6 personas marked “body signals” as ambiguous.","true"
"ADJ-P","psychometric","HS02","high","high","Eating desire was sometimes treated as hunger itself rather than a cue to discriminate hunger.","none","none","moderate","none","high","high","retain","low","","Human review must decide whether desire and hunger need distinct anchors.","21/24 expert roles retained the item; all 6 personas used the scale and saw an obvious desirable answer.","true"
"ADJ-P","psychometric","HS03","moderate","moderate","Severe weakness was read as illness, exertion, or food access as well as late hunger.","none","none","low","low","moderate","none","minor_rewrite","medium","Өлсөлтийн эхний дохио өнгөрсний дараа л өлссөнөө анзаарсан.","Human review must decide which bodily marker should operationalize late hunger without implying illness.","16/24 expert roles retained and 8/24 requested rewrite; 5/6 personas marked the weakness phrase ambiguous.","true"
"ADJ-P","psychometric","HS04","moderate","moderate","“Comfortably full” varied across pleasant, sufficient, and non-uncomfortable fullness.","none","none","moderate","none","low","high","minor_rewrite","low","Идэж байхдаа хангалттай цадсанаа анзаарсан.","Human review must decide whether comfortable and sufficient fullness represent the same facet.","16/24 expert roles retained and 8/24 requested minor rewrite; all 6 personas marked the fullness phrase ambiguous.","true"
"ADJ-P","psychometric","HS05","high","high","Satiety uncertainty was interpreted consistently.","none","none","none","none","low","none","retain","none","","Human review must decide whether any definition of satiety is needed.","23/24 expert roles retained the item; all 6 personas used the scale and none flagged multiple meanings.","true"
"ADJ-P","psychometric","HS06","low","low","Using body signals to start eating and to stop eating were treated as two distinct decisions.","moderate","none","moderate","low","high","none","major_rewrite","critical","Биеийн дохио тодорхой байсан ч идэхээ хэзээ зогсоохоо шийдэхэд ашиглаж чадаагүй.","Human review must choose either hunger-based starting or fullness-based stopping for this item.","12/24 expert roles requested minor rewrite and 8/24 major rewrite; all 6 personas flagged more than one thing and only 3/6 found the options fitting.","true"
"ADJ-P","psychometric","SE01","moderate","low","“Flexible eating plan” was undefined and retrospective confidence was read as experience frequency by some personas.","moderate","moderate","high","low","moderate","none","minor_rewrite","high","Стресстэй өдөр өөрийн сонгосон хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must decide how to anchor confidence to a 14-day period and respondents without a plan.","17/24 expert roles requested minor rewrite; all 6 personas marked the plan phrase ambiguous and only 3/6 found the options fitting.","true"
"ADJ-P","psychometric","SE02","low","moderate","A “suitable feasible choice” varied across healthfulness, availability, affordability, and personal preference.","low","moderate","high","none","moderate","none","minor_rewrite","medium","Зав багатай үед өөрт тохирох хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must define the target choice without prescribing a preferred diet.","11/24 expert roles retained and 12/24 requested minor rewrite; 5/6 personas used the confidence options as intended.","true"
"ADJ-P","psychometric","SE03","high","high","Making one’s own choice calmly combined autonomy with emotional composure.","none","moderate","high","low","moderate","none","minor_rewrite","medium","Бусадтай хамт хооллох үед өөрийн сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must decide whether calmness is part of social eating efficacy.","18/24 expert roles retained the item; all 6 personas used the scale and saw an obvious desirable answer.","true"
"ADJ-P","psychometric","SE04","moderate","high","Deliberating and choosing whether to eat was read as both confidence and attentional self-control.","none","moderate","high","none","high","none","minor_rewrite","medium","Идэх зүйл ойрхон байсан ч идэх эсэхээ сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must decide whether deliberate choice is the target behavior or only the confidence context.","17/24 expert roles retained and 7/24 requested rewrite; all 6 personas used the confidence scale.","true"
"ADJ-P","psychometric","SE05","low","low","The conditional recovery situation was not applicable to personas without a plan or recent deviation.","high","moderate","high","low","moderate","none","minor_rewrite","high","Төлөвлөснөөс өөр идсэний дараа дараагийн боломж дээрээ эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must specify handling for respondents without the prerequisite plan or deviation.","12/24 expert roles retained and 11/24 requested minor rewrite; 5/6 personas selected not applicable and only 2/6 found the options fitting.","true"
"ADJ-P","psychometric","SE06","low","low","“Smallest option” was read as portion size, food choice, or a reduced plan step.","moderate","moderate","high","low","high","none","major_rewrite","critical","Ядарсан үедээ ч өөрт тохирох хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?","Human review must decide the concrete behavior and separate eating efficacy from implementation planning.","Expert dispositions included 4 retain, 12 minor rewrite, 7 major rewrite, and 1 hold; all 6 personas marked “smallest option” ambiguous.","true"
"ADJ-P","psychometric","HA01","high","moderate","Time and place were treated as separate habit cues, and “without thinking” varied in degree.","none","none","low","low","moderate","none","minor_rewrite","medium","Тодорхой цаг болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан.","Human review must decide whether time and place cues require separate items.","18/24 expert roles retained and 6/24 requested minor rewrite; 2/6 personas flagged more than one thing.","true"
"ADJ-P","psychometric","HA02","moderate","low","The preceding action was unspecified and the automatic sequence wording was abstract.","low","none","none","none","moderate","none","major_rewrite","high","Тодорхой нэг үйлдлийн дараа бодолгүйгээр юм иддэг байсан.","Human review must decide whether respondent-supplied preceding actions are comparable enough for this facet.","16/24 expert roles requested minor rewrite and 5/24 major rewrite; all 6 personas marked the cue or sequence wording ambiguous.","true"
"ADJ-P","psychometric","HA03","moderate","moderate","The delayed-awareness phrase was unclear and could reflect distraction rather than automatic initiation.","none","none","low","low","low","none","minor_rewrite","medium","Идэж эхэлснээ хэсэг хугацаа өнгөрсний дараа анзаарсан.","Human review must decide whether awareness lag sufficiently distinguishes automaticity from distraction.","15/24 expert roles retained and 9/24 requested rewrite or hold; all 6 personas marked the timing phrase ambiguous.","true"
"ADJ-P","psychometric","HA04","low","moderate","The action “started by itself” was read metaphorically and the familiar context was unspecified.","none","none","low","none","moderate","none","minor_rewrite","medium","Танил орчинд ороход бодолгүйгээр идэж эхэлсэн.","Human review must decide whether a respondent-defined familiar context provides a stable cue.","Expert dispositions split evenly between 12 retain and 12 minor rewrite; all 6 personas marked either the context or automatic-start phrase ambiguous.","true"
"ADJ-P","psychometric","HA05","high","moderate","Not checking whether a snack was wanted was read as interoceptive awareness or decision quality as well as automaticity.","low","none","moderate","low","moderate","none","minor_rewrite","medium","Зууш авахдаа сонголтоо бодолгүй хийсэн.","Human review must decide whether low deliberation belongs in automaticity or hunger-awareness constructs.","18/24 expert roles retained and 6/24 requested rewrite; 5/6 personas found the options fitting.","true"
"ADJ-P","psychometric","HA06","moderate","moderate","Deliberate choice in a repeated context was read as mindfulness or self-efficacy rather than low automaticity.","low","none","high","none","moderate","high","minor_rewrite","high","Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд бодож хийсэн.","Human review must decide whether a reverse deliberate-choice item is needed in the automaticity scale.","14/24 expert roles retained and 10/24 requested rewrite or hold; all 6 personas saw an obvious desirable answer.","true"
"ADJ-P","psychometric","BI01","high","high","Photograph avoidance was understood consistently, with minor variation in what body appearance includes.","low","low","high","high","low","none","retain","low","","Human review must decide whether non-applicability is needed for respondents without recent photograph opportunities.","22/24 expert roles retained the item; 4/6 personas flagged judgment or shame and 1/6 needed a non-applicable response.","true"
"ADJ-P","psychometric","BI02","high","high","Mirror avoidance due to discomfort was understood consistently.","none","none","high","high","low","none","retain","low","","Human review must decide whether mirror opportunity requires an explicit non-applicable option.","22/24 expert roles retained the item; all 6 personas used the scale and 4/6 flagged judgment or shame.","true"
"ADJ-P","psychometric","BI03","high","high","Clothing avoidance due to body appearance was understood consistently.","none","none","high","high","low","none","retain","low","","Human review must decide whether desired clothing should be anchored to an actual opportunity.","21/24 expert roles retained the item; all 6 personas used the scale and 3/6 flagged judgment or shame.","true"
"ADJ-P","psychometric","BI04","moderate","high","“Activities with people” was broad and could include many participation contexts.","none","low","high","high","low","none","minor_rewrite","medium","Биеийн төрхдөө санаа зовсноос бусадтай хамт хийх үйл ажиллагаанд оролцоогүй.","Human review must decide whether social participation needs a more specific opportunity anchor.","17/24 expert roles retained and 7/24 requested minor rewrite; 5/6 personas flagged judgment or shame.","true"
"ADJ-P","psychometric","BI05","high","moderate","Avoiding movement could reflect injury, access, safety, or time in addition to body-image concern.","low","low","high","high","moderate","none","minor_rewrite","high","Бусад хүн биеийг минь анзаарах вий гэж санаа зовсноос хөдөлгөөнтэй үйл ажиллагаанаас зайлсхийсэн.","Human review must decide how to separate body-image avoidance from other reasons for not moving.","20/24 expert roles retained the item; 2/6 personas flagged more than one thing and 1/6 needed a non-applicable response.","true"
"ADJ-P","psychometric","BI06","moderate","low","Participation despite discomfort was read as resilience or psychological flexibility rather than absence of avoidance.","moderate","low","high","moderate","moderate","high","major_rewrite","high","Биеийнхээ талаар тавгүй байсан ч оролцохыг хүссэн үйл ажиллагаандаа оролцсон.","Human review must decide whether positive participation belongs in avoidance and how to handle no-opportunity cases.","16/24 expert roles retained and 8/24 requested rewrite or hold; 5/6 personas selected not applicable.","true"
"ADJ-P","psychometric","IM01","high","moderate","The plan itself was unspecified, while “what” and “when” could be separate sources of friction.","none","none","low","low","low","none","minor_rewrite","low","Юуг хэзээ хийхээ тодорхой мэдээгүйгээс төлөвлөгөөгөө эхлүүлээгүй.","Human review must decide whether action and timing clarity should remain combined.","21/24 expert roles retained the item; all 6 personas marked “plan” ambiguous and 2/6 needed a non-applicable response.","true"
"ADJ-P","psychometric","IM02","high","low","“Many preparations” varied by plan and some personas had no relevant plan.","moderate","none","low","none","low","none","minor_rewrite","medium","Хоолны төлөвлөгөөг хэрэгжүүлэхэд олон бэлтгэл шаардсанаас эхлэхээ хойшлуулсан.","Human review must decide which plan domain and preparation burden should be referenced.","18/24 expert roles retained and 6/24 requested minor rewrite; 3/6 personas needed a non-applicable response.","true"
"ADJ-P","psychometric","IM03","moderate","low","“Smallest version” was interpreted as a small meal, easy step, reduced plan, or available resource.","moderate","low","high","none","moderate","high","major_rewrite","critical","Завгүй өдөр төлөвлөгөөнийхөө хамгийн хялбар алхмыг хийсэн.","Human review must decide whether the facet targets planning availability or enacted minimum behavior.","Expert dispositions included 5 retain, 12 minor rewrite, 6 major rewrite, and 1 hold; all 6 personas marked the phrase ambiguous.","true"
"ADJ-P","psychometric","IM04","high","moderate","“Stopped completely” was read as absolute plan failure and the plan domain was unspecified.","low","low","moderate","low","moderate","none","minor_rewrite","medium","Өдрийн хуваарь өөрчлөгдсөний дараа төлөвлөгөөгөө үргэлжлүүлэхэд хэцүү байсан.","Human review must decide whether disruption means difficulty continuing or complete cessation.","19/24 expert roles retained and 5/24 requested minor rewrite; 3/6 personas needed a non-applicable response.","true"
"ADJ-P","psychometric","IM05","high","moderate","The skipped action and next opportunity were undefined, and some personas had no plan to resume.","moderate","low","moderate","none","moderate","high","minor_rewrite","medium","Нэг удаа төлөвлөсөн үйлдлээ алгассан ч дараагийн боломж дээрээ эргэн үргэлжлүүлсэн.","Human review must decide how to handle respondents without a skipped event or resumption opportunity.","20/24 expert roles retained the item; 2/6 personas selected not applicable and 1/6 found the recall period unusable.","true"
"ADJ-P","psychometric","IM06","high","moderate","The repeatable action was unspecified and the frequency scale was read against a multi-day pattern.","moderate","low","moderate","low","low","none","minor_rewrite","medium","Нэг өдөр хэрэгжүүлсэн хоолны төлөвлөгөөгөө дараагийн өдрүүдэд давтахад хэцүү байсан.","Human review must decide which behavior and minimum number of repeat opportunities define this facet.","19/24 expert roles retained and 5/24 requested minor rewrite; only 3/6 personas found the options fitting.","true"
"ADJ-P","psychometric","AC01","low","high","A commanded response was presented on a frequency interface and was read as an instruction rather than a measured behavior.","high","none","moderate","low","low","none","hold","critical","","Human review must decide whether an instructed-response check is allowed and how it is displayed and interpreted.","Expert dispositions spanned retain, rewrite, hold, and remove; 22/24 expert roles flagged leading wording and 5/6 personas found the options fitting.","true"
"ADJ-P","psychometric","AC02","low","moderate","Feeling required to repeat one answer was read as survey instruction, interface pressure, or actual repetitive responding.","moderate","moderate","moderate","low","moderate","none","major_rewrite","critical","Асуултуудын утга өөр байсан ч нэг ижил хариулт сонгосон.","Human review must decide whether semantic consistency should be assessed directly, indirectly, or outside the item pool.","Expert dispositions included 3 retain, 5 minor rewrite, 9 major rewrite, and 7 hold; 5/6 personas found the options fitting.","true"
