adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
ADJ-MN,mongolian_language,UC06,moderate,moderate,түр зогсоод болон үргэлжлүүлэх эсэх нь хоёр үйлдэл,none,low,moderate,low,moderate,high,minor_rewrite,medium,Идэж байхдаа үргэлжлүүлэх эсэхээ бодож түр зогсож чадсан.,Эерэг урвуу зүйл нь завсарлах чадвар уу эсвэл ухамсартай шийдвэр үү,Шинжээчид хадгалах хандлагатай боловч урвуу хэлбэрийн эрсдэлийг тэмдэглэсэн ба персонууд зөв хариулт илт гэж үзсэн,true
ADJ-MN,mongolian_language,RR01,moderate,low,төлөвлөгөө нурсан нь зүйрлэсэн бөгөөд хоолны дүрэм бүх хүнд хамаарахгүй,none,low,moderate,high,moderate,none,minor_rewrite,high,Хоолны дүрмээс зөрөхөд төлөвлөгөөгөө бүтэлгүйтсэн мэт санагдсан.,Дүрэм эсвэл төлөвлөгөөгүй хүмүүст үл хамаарах сонголт хэрэгтэй эсэх,Персонуудын зарим нь сонголт тохирохгүй гэж тэмдэглэсэн ба нурсан гэсэн үг олон янзаар тайлбарлагдсан,true
ADJ-MN,mongolian_language,RR02,high,moderate,зарим хоол болон бүрэн хориглохын хамрах хүрээ,none,none,moderate,moderate,low,none,minor_rewrite,low,Зарим хоолыг идэхгүй байх хатуу дүрэм өөртөө тавьсан.,Хатуу дүрэм нь эрүүл мэндийн шаардлагатай хоолны дэглэмээс ялгарах эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд хориглох хэллэгийг тодруулгагүй гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,RR03,high,moderate,яг дагах болон бүтэлгүй гэсэн үнэлгээтэй хэллэг,none,low,high,high,low,none,retain,medium,,Шүүмжилсэн мэт сонсогдох хэллэгийг өөрчилбөл хоёр туйлт үнэлгээний агуулга өөрчлөгдөх эсэх,Шинжээчид голдуу хадгалахыг санал болгосон боловч бүх персонууд шүүмжилсэн эсвэл ичгэвтэр өнгө аяс тэмдэглэсэн,true
ADJ-MN,mongolian_language,RR04,moderate,low,хяналтгүй орхисон нь өргөн бөгөөд буруутгасан өнгөтэй,none,low,high,high,high,none,major_rewrite,high,Төлөвлөснөөс өөр идсэний дараа үлдсэн өдөртөө хоолны төлөвлөгөөгөө дагаагүй.,Бүх эсвэл юу ч үгүй сэтгэлгээг хадгалахдаа хүчтэй шүүлтийг хэр багасгах вэ,Шинжээчдийн ихэнх нь дахин бичихийг санал болгосон ба персонууд хэллэгийг тодорхой бус гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,RR05,high,moderate,төлөвлөгөөнөөс хазайх болон дүрмээ чангалах,none,low,moderate,moderate,moderate,none,retain,low,,,Шинжээчид бараг нэг мөр хадгалахыг санал болгосон ба персонууд гол нэр томьёог асуусан,true
ADJ-MN,mongolian_language,RR06,moderate,low,хэвийн хэмнэл нь тодорхой биш бөгөөд төлөвлөгөөтэй байхыг шаардана,low,low,moderate,moderate,moderate,high,minor_rewrite,high,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо ердийн хооллолтдоо эргэн орсон.,Урвуу зүйлд төлөвлөгөөгүй хүмүүст үл хамаарах сонголт хэрэгтэй эсэх,Персонууд сонголтын тохирц дээр хуваагдсан бөгөөд шинжээчид урвуу хэлбэрийн эрсдэлийг тэмдэглэсэн,true
ADJ-MN,mongolian_language,HS01,moderate,moderate,биеийн дохио нь өлсгөлөнгийн ямар мэдрэмжийг заах нь өргөн,none,low,low,low,low,high,minor_rewrite,low,Өлсөлт хүчтэй болохоос өмнө өлссөн дохиогоо анзаарсан.,Урвуу эерэг хэлбэрийг хадгалах эсэх,Персонууд биеийн дохио гэсэн үгийг асуусан ба шинжээчид ихэнхдээ хадгалахыг санал болгосон,true
ADJ-MN,mongolian_language,HS02,high,moderate,идэх хүсэл ба өлсөлтийг ялгах гэсэн хийсвэр харьцуулалт,none,low,moderate,low,moderate,high,minor_rewrite,low,Идэх хүсэл төрөхөд өлссөн эсэхээ ялгаж чадсан.,Эерэг урвуу зүйл нь ялгах чадварыг зөв хэмжиж байгаа эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд ялгаж чадсан гэсэн үйлдлийг асуусан,true
ADJ-MN,mongolian_language,HS03,moderate,moderate,бие их сульдах гэсэн босго тодорхой биш,none,low,low,low,moderate,none,minor_rewrite,low,Өлссөнөө бие сульдах хүртэл анзаараагүй.,Сульдах нь өлсгөлөнгийн бусад шалтгаантай давхцах эсэх,Шинжээчид хадгалах хандлагатай боловч персонууд сульдах гэсэн үгийн утгыг тэмдэглэсэн,true
ADJ-MN,mongolian_language,HS04,moderate,moderate,тав тухтай цадсан гэдэг нь хувь хүнээс хамаарна,none,low,low,low,low,high,minor_rewrite,low,Идэж байхдаа эвтэйхэн цадсан мөчөө анзаарсан.,Тав тухтай байдлыг цадалтын түвшнээс тусад нь ойлгох эрсдэл,Персонууд тав тухтай цадсан хэллэгийг давтан асуусан бөгөөд шинжээчид ихэнхдээ хадгалахыг санал болгосон,true
ADJ-MN,mongolian_language,HS05,high,moderate,цадсан эсэх нь ерөнхий мэдрэмж байж болно,none,none,low,low,low,none,retain,low,,,Шинжээчид бараг нэг мөр хадгалахыг санал болгосон ба персонууд цадалтын нэр томьёог бага зэрэг асуусан,true
ADJ-MN,mongolian_language,HS06,moderate,low,биеийн дохио болон эхлэх эсвэл зогсох гэсэн хоёр шийдвэр,low,low,low,low,moderate,none,major_rewrite,high,Биеийн дохиогоо ашиглан идэхээ хэзээ зогсоохоо шийдэж чадаагүй.,Эхлэх ба зогсох шийдвэрийг тусдаа зүйл болгох эсэх,Шинжээчид голдуу дахин бичихийг санал болгосон ба персонууд сонголтын тохирц дээр хуваагдсан,true
ADJ-MN,mongolian_language,SE01,moderate,low,14 хоногийн давтамж ба итгэлтэй байсан бэ гэсэн үнэлгээ зөрнө,high,high,moderate,low,moderate,none,major_rewrite,high,Стресстэй өдөр уян хатан хоолны төлөвлөгөөгөө хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй вэ?,Итгэлийг тусдаа үнэлгээний хэмжүүрээр асуух уу эсвэл 14 хоногийн зан үйлээр асуух уу,Шинжээчид тодорхой байдал ба эргэн санах хугацааг бууруулсан бөгөөд персонууд сонголт дээр хуваагдсан,true
ADJ-MN,mongolian_language,SE02,moderate,moderate,боломжит хоолны сонголт болон 14 хоногийн итгэлийн асуулт,high,high,moderate,low,moderate,none,major_rewrite,high,Зав багатай үед өөрт тохирох хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Итгэлийн хариултын хэмжүүрийг давтамжийн хэмжүүрээс салгах эсэх,Шинжээчид хугацаа ба тодорхой байдлын асуудал тэмдэглэсэн ба персонууд боломжит гэсэн үгийг асуусан,true
ADJ-MN,mongolian_language,SE03,moderate,moderate,тайван хийж чадна гэдэг нь сэтгэл хөдлөл ба чадварыг хамарна,high,high,moderate,low,moderate,none,major_rewrite,high,Бусадтай хамт хооллох үед өөрийн сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Итгэлийн хэмжүүрт тайван гэсэн тусдаа ойлголтыг оруулах эсэх,Шинжээчид эргэн санах хугацааг тохирохгүй гэж үнэлсэн ба персонууд тайван гэсэн үгийг тэмдэглэсэн,true
ADJ-MN,mongolian_language,SE04,moderate,moderate,бодож сонгож нь шийдвэрийн үйл явцыг давхар асууна,high,moderate,moderate,low,moderate,none,major_rewrite,high,Идэх зүйл ойрхон байсан ч идэх эсэхээ сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Итгэлийн асуултад 14 хоногийн хязгаар хэрэгтэй эсэх,Шинжээчид хугацаа болон хэмжүүрийн тохирцыг бууруулсан ба персонууд голдуу ойлгосон,true
ADJ-MN,mongolian_language,SE05,moderate,low,дараагийн боломж нь тодорхой биш бөгөөд итгэл ба давтамж зөрнө,high,high,moderate,low,moderate,none,major_rewrite,high,Төлөвлөснөөс өөр идсэний дараа эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй вэ?,Итгэлийг асуух уу эсвэл бодит эргэн үргэлжлүүлэлтийг асуух уу,Персонуудын олонх нь үл хамаарах сонголт хэрэгтэй гэж тэмдэглэсэн бөгөөд шинжээчид хэлбэрийн зөрчил илрүүлсэн,true
ADJ-MN,mongolian_language,SE06,low,moderate,хамгийн жижиг хувилбар нь тодорхой биш бөгөөд итгэл ба давтамж зөрнө,high,high,moderate,low,moderate,none,major_rewrite,high,Ядарсан үедээ өөрт боломжтой хамгийн бага үйлдлийг хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Хамгийн бага үйлдлийг урьдчилан тодорхойлох эсэх болон итгэлийн хэмжүүр сонгох,Шинжээчид голдуу дахин бичихийг санал болгосон ба персонууд хамгийн жижиг хувилбарын утгыг асуусан,true
ADJ-MN,mongolian_language,HA01,moderate,moderate,тодорхой цаг эсвэл газар ба бодолгүйгээр гэсэн өргөн хэллэг,none,low,low,low,moderate,none,minor_rewrite,low,Тодорхой нөхцөлд бодолгүйгээр идэх зүйл рүү гараа сунгасан.,Цаг ба газрыг нэг өдөөгч болгон нэгтгэх эсэх,Шинжээчид хадгалах хандлагатай боловч персонууд хоёр нөхцөл болон бодолгүйгээр гэдгийг асуусан,true
ADJ-MN,mongolian_language,HA02,moderate,low,нэг үйлдэл болон автоматаар үргэлжилдэг дараалал нь хийсвэр,low,low,low,low,moderate,none,major_rewrite,high,Тодорхой үйлдлийн дараа юм идэх нь давтагддаг зуршил болсон.,Ямар өмнөх үйлдлийг тодорхойлохгүйгээр дарааллыг хэмжих эсэх,Шинжээчид голдуу дахин бичихийг санал болгосон ба персонууд нэг үйлдэл гэсэн үгийг ойлгомжгүй гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,HA03,moderate,moderate,хэдийн эхэлсний дараа нь цаг хугацааны утгагүй,none,low,low,low,low,none,minor_rewrite,medium,Идэж эхэлснээ хэсэг хугацааны дараа анзаарсан.,Хугацааны босгыг заах шаардлагатай эсэх,Персонууд бүгд хэдийн эхэлсний дараа гэсэн хэллэгийг тэмдэглэсэн ба шинжээчид ихэнхдээ хадгалахыг санал болгосон,true
ADJ-MN,mongolian_language,HA04,moderate,moderate,танил орчин болон өөрөө эхэлдэг мэт нь өргөн,none,low,low,low,moderate,none,minor_rewrite,medium,Танил орчинд ороход идэж эхлэх нь өөрөө болдог мэт санагдсан.,Орчны өдөөгчийг илүү тодорхой болгох эсэх,Шинжээчдийн шийдвэр хуваагдсан ба персонууд өөрөө эхэлдэг мэт хэллэгийг асуусан,true
ADJ-MN,mongolian_language,HA05,moderate,moderate,үнэхээр хүсэж байгаа эсэх нь өлсгөлөн эсвэл хүсэлтэй давхцана,none,low,low,low,moderate,none,minor_rewrite,low,Зууш авахдаа идмээр байгаа эсэхээ бодолгүй сонгосон.,Хүсэл ба өлсгөлөнг ялгах шаардлагатай эсэх,Шинжээчид ихэнхдээ хадгалахыг санал болгосон боловч персонууд үнэхээр хүсэж байгаа гэдгийг тодорхой бус гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,HA06,moderate,moderate,давтагддаг нөхцөл нь ямар нөхцөлийг заах нь тодорхой биш,none,low,moderate,low,moderate,high,minor_rewrite,medium,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд хийсэн.,Урвуу эерэг зүйл нь санаатай сонголт уу эсвэл дадлын сулрал уу,Шинжээчид хадгалах хандлагатай боловч урвуу хэлбэрийн эрсдэл тэмдэглэсэн ба персонууд зөв хариулт илт гэж үзсэн,true
ADJ-MN,mongolian_language,BI01,high,moderate,биеийн төрх ба зураг авахуулахын нөхцөл,low,low,moderate,high,low,none,retain,medium,,Хүрээг нарийсгах нь зайлсхийх зан үйлийг өөрчлөх эсэх,Шинжээчид голдуу хадгалахыг санал болгосон боловч персонуудын олонх нь шүүмжилсэн эсвэл ичгэвтэр өнгө аяс тэмдэглэсэн,true
ADJ-MN,mongolian_language,BI02,high,moderate,биеэ харах эвгүй гэсэн мэдрэмжийн өнгө,low,low,moderate,high,low,none,retain,medium,,Мэдрэмжийн хэллэгийг зөөлрүүлэхэд зорилтот зайлсхийх зан үйл өөрчлөгдөх эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд эвгүй болон биеэ харах хэллэгийг асуусан,true
ADJ-MN,mongolian_language,BI03,high,moderate,биеийн төрхөөсөө болж гэсэн шалтгааныг батлах мэт,none,low,moderate,high,low,none,retain,medium,,Шалтгааныг шууд асуух нь оролцогчид дарамттай эсэх,Шинжээчид бараг нэг мөр хадгалахыг санал болгосон боловч ичгэвтэр өнгө аяс тогтвортой тэмдэглэгдсэн,true
ADJ-MN,mongolian_language,BI04,moderate,moderate,хүмүүстэй хийх үйл ажиллагаа нь хэт өргөн,none,low,moderate,high,low,none,minor_rewrite,medium,Биеийн төрхдөө санаа зовсноос нийгмийн үйл ажиллагаанд оролцоогүй.,Нийгмийн үйл ажиллагааг жишээгээр тодруулах эсэх,Персонууд үйл ажиллагаа гэсэн үгийг асуусан ба шинжээчид ихэнхдээ хадгалахыг санал болгосон,true
ADJ-MN,mongolian_language,BI05,moderate,moderate,хөдөлгөөн хийх нь дасгал эсвэл өдөр тутмын хөдөлгөөнийг ялгахгүй,none,low,moderate,high,moderate,none,minor_rewrite,medium,Бусад хүн биеийг минь анзаарах вий гэж бодоод дасгал хийхээс зайлсхийсэн.,Хөдөлгөөн гэдэгт ямар үйл ажиллагаа хамрахыг шийдэх,Шинжээчид хадгалах хандлагатай боловч персонууд хөдөлгөөн хийх гэдгийг давтан тодруулгагүй гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,BI06,moderate,low,тавгүй болон хүссэн үйл ажиллагаа нь тодорхой биш бөгөөд эерэг хариулт илт,none,low,high,moderate,moderate,high,major_rewrite,high,Биеийнхээ талаар тавгүй байсан ч оролцохыг хүссэн үйл ажиллагаандаа оролцсон.,Үл хамаарах сонголт болон урвуу эерэг зүйлийг хадгалах эсэх,Персонуудын олонх нь үл хамаарах сонголт хэрэгтэй гэж тэмдэглэсэн ба шинжээчид урвуу хэлбэрийн эрсдэл илрүүлсэн,true
ADJ-MN,mongolian_language,IM01,high,moderate,төлөвлөгөө нь ямар зан үйлийн төлөвлөгөө болох нь тодорхой биш,none,low,low,low,low,none,minor_rewrite,low,Юуг хэзээ хийх нь тодорхойгүйгээс хоолны төлөвлөгөөгөө эхлүүлээгүй.,Төлөвлөгөөний төрлийг зүйл тус бүрт тогтоох эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд төлөвлөгөө гэсэн үгийг асуусан,true
ADJ-MN,mongolian_language,IM02,moderate,low,олон бэлтгэл болон төлөвлөгөө нь тодорхой биш,none,low,low,low,low,none,minor_rewrite,medium,Олон бэлтгэл хэрэгтэй санагдсанаас хоолны төлөвлөгөөгөө хойшлуулсан.,Бэлтгэлийн жишээг ерөнхий зааварт өгөх эсэх,Персонууд сонголт болон үл хамаарах сонголт дээр хуваагдсан ба шинжээчид хэллэгийг бага зэрэг бууруулсан,true
ADJ-MN,mongolian_language,IM03,low,low,хамгийн жижиг хувилбар нь тодорхой биш бөгөөд эерэг урвуу хариулт илт,moderate,low,moderate,low,moderate,high,major_rewrite,high,Завгүй өдөр хийхэд амархан жижиг үйлдэл надад урьдчилан бэлэн байсан.,Жижиг үйлдлийг хувь хүнд тохируулан тодорхойлох эсэх болон урвуу зүйлийг хадгалах эсэх,Шинжээчид голдуу дахин бичихийг санал болгосон ба персонуудын тал нь сонголт тохирохгүй гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,IM04,moderate,moderate,тэр чигтээ тасарсан нь туйлширсан ба өргөн,none,low,low,low,low,none,minor_rewrite,medium,Өдрийн хуваарь өөрчлөгдөхөд хоолны төлөвлөгөөгөө үргэлжлүүлэхэд хэцүү болсон.,Тасрахын босгыг тогтоох эсэх,Шинжээчид ихэнхдээ хадгалахыг санал болгосон боловч персонууд тэр чигтээ тасарсан хэллэгийг асуусан,true
ADJ-MN,mongolian_language,IM05,moderate,moderate,алгассан болон дараагийн боломж нь тодорхой биш,low,low,moderate,low,low,high,minor_rewrite,medium,Нэг удаа төлөвлөсөн үйлдлээ алгассан ч дараагийн удаа нь үргэлжлүүлсэн.,Алгассан үйлдлийн төрлийг тодруулах эсэх болон урвуу зүйлийг хадгалах эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд алгассан болон боломж гэсэн үгийг асуусан,true
ADJ-MN,mongolian_language,IM06,moderate,low,хийж чадсан зүйл нь ямар үйлдэл болох нь тодорхой биш,none,low,low,low,low,none,minor_rewrite,medium,Нэг өдөр хийсэн хоолны төлөвлөгөөгөө дараагийн өдрүүдэд давтахад хэцүү байсан.,Давтах зан үйлийг ерөнхий заавраар тодорхойлох эсэх,Персонууд сонголтын тохирц дээр хуваагдсан ба шинжээчид тодорхой байдлыг бага зэрэг бууруулсан,true
ADJ-MN,mongolian_language,AC01,low,moderate,асуултын оронд заавар бөгөөд давтамжийн хэмжүүрт нийцэхгүй,high,high,low,none,none,none,hold,critical,,Энэ зааврыг хариултын чанарын шалгалт болгон тусдаа удирдамжид байрлуулах эсэх,Шинжээчдийн шийдвэр тархсан бөгөөд хариултын хэмжүүр ба эргэн санах хугацааг олонх нь тохирохгүй гэж үнэлсэн,true
ADJ-MN,mongolian_language,AC02,low,moderate,нэг ижил хариулт сонгох шаардлагатай мэт нь хэний шаардлагыг заах нь тодорхой биш,high,moderate,low,low,moderate,none,hold,critical,,Энэ зүйлийг хариултын хэв маягийн шалгалт болгон үлдээх эсэх болон ямар хэмжүүр хэрэглэхийг шийдэх,Шинжээчид голдуу томоохон засвар эсвэл хойшлуулахыг санал болгосон ба персонууд шаардлагатай мэт гэсэн хэллэгийг асуусан,true
