item_key,construct,facet,behavioral_context,intended_direction,reverse_coded,recall_period,response_scale,reading_level,sensitive,clinical_risk,copyright_source,original_or_adapted,status,rationale
UC03,uncontrolled_eating,momentum,Амттай эсвэл дуртай хоол,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн."
UC04,uncontrolled_eating,subjective_control,Идэх үе,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Идэж байхдаа үйлдлээ өөрөө удирдаж чадахгүй мэт санагдсан."
UC05,uncontrolled_eating,unplanned_continuation,Зууш эсвэл хоол,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Багахан иднэ гэж эхэлсэн ч үргэлжлүүлээд идсэн."
UC06,uncontrolled_eating,pause_capacity,Идэж байх үе,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Идэж байхдаа түр зогсоод үргэлжлүүлэх эсэхээ бодож чадсан."
RR01,restrictive_rebound,rigid_rules,Өөрт тавьсан хоолны дүрэм,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан."
RR02,restrictive_rebound,prohibition,Хоол сонголт,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Зарим хоолыг өөртөө бүрэн хориглох дүрэм тогтоосон."
RR03,restrictive_rebound,dichotomous_evaluation,Төлөвлөгөөний үнэлгээ,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүй гэж үзсэн."
RR04,restrictive_rebound,rebound,Дүрмээс зөрсний дараа,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон."
RR05,restrictive_rebound,tightening,Хазайлтын дараа,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Төлөвлөгөөнөөс хазайсныхаа дараа маргааш нь дүрмээ улам чангалсан."
RR06,restrictive_rebound,flexible_return,Хазайлтын дараа,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон."
HS01,hunger_satiety_awareness,early_hunger,Хоолны өмнө,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Өлсөлт хэт хүчтэй болохоос өмнө биеийн дохиогоо анзаарсан."
HS02,hunger_satiety_awareness,hunger_discrimination,Идэх хүсэл төрөхөд,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Идэх хүсэл төрөхөд өлссөн эсэхээ ялгаж чадсан."
HS03,hunger_satiety_awareness,late_hunger,Удаан завсарласны дараа,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Өлссөнөө бие их сульдсаны дараа л анзаарсан."
HS04,hunger_satiety_awareness,comfortable_fullness,Идэж байхдаа,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Тав тухтай цадсан мөчөө идэж байхдаа анзаарсан."
HS05,hunger_satiety_awareness,satiety_clarity,Хоолны төгсгөл,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Цадсан эсэхээ мэдэхэд эргэлзсэн."
HS06,hunger_satiety_awareness,signal_use,Хоол эхлэх ба зогсоох,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй."
SE01,eating_self_efficacy,stress,Стресстэй өдөр,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,true,low,None,original,candidate,"Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
SE02,eating_self_efficacy,time_pressure,Завгүй өдөр,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,false,low,None,original,candidate,"Зав багатай үед өөрт тохирох боломжит хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
SE03,eating_self_efficacy,social,Хүмүүстэй хамт,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,true,low,None,original,candidate,"Бусадтай хамт хооллох үед өөрийн сонголтоо тайван хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
SE04,eating_self_efficacy,cues,Хоол ойр бэлэн үед,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,false,low,None,original,candidate,"Идэх зүйл ойрхон байсан ч идэх эсэхээ бодож сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
SE05,eating_self_efficacy,recovery,Төлөвлөгөөнөөс хазайсны дараа,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,true,low,None,original,candidate,"Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээр эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
SE06,eating_self_efficacy,fatigue,Ядарсан үед,strength,false,Сүүлийн 14 хоног,0–4 confidence,Энгийн,false,low,None,original,candidate,"Ядарсан үедээ ч өөрт боломжтой хамгийн жижиг хувилбарыг сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?"
HA01,habit_automaticity,automatic_start,Тогтмол нөхцөл,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Тодорхой цаг эсвэл газар болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан."
HA02,habit_automaticity,sequence,Өдөр тутмын дараалал,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Нэг үйлдлийн дараа юм идэх нь автоматаар үргэлжилдэг дараалал болсон."
HA03,habit_automaticity,awareness_lag,Идэж эхлэх үе,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Идэж эхэлснээ хэдийн эхэлсний дараа анзаарсан."
HA04,habit_automaticity,context_trigger,Танил орчин,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Танил орчинд ороход идэх үйлдэл өөрөө эхэлдэг мэт байсан."
HA05,habit_automaticity,low_deliberation,Зууш сонгох,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Зууш авахдаа үнэхээр хүсэж байгаа эсэхээ бодолгүй сонгосон."
HA06,habit_automaticity,deliberate_choice,Давтагддаг нөхцөл,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд хийсэн."
BI01,body_image_avoidance,photographs,Зураг авахуулах,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Биеийн төрхөөсөө санаа зовж зураг авахуулахаас зайлсхийсэн."
BI02,body_image_avoidance,mirror,Толинд харах,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Биеэ харах эвгүй санагдсанаас толиноос зайлсхийсэн."
BI03,body_image_avoidance,clothing,Хувцас сонгох,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Биеийн төрхөөсөө болж өмсөхийг хүссэн хувцсаа сонгоогүй."
BI04,body_image_avoidance,social_participation,Олон нийтийн орчин,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Биеийн төрхдөө санаа зовсноос хүмүүстэй хийх үйл ажиллагаанаас татгалзсан."
BI05,body_image_avoidance,movement_participation,Хөдөлгөөн хийх орчин,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Бусад хүн биеийг минь анзаарах вий гэж бодоод хөдөлгөөн хийхээс зайлсхийсэн."
BI06,body_image_avoidance,participation_despite_discomfort,Өдөр тутмын оролцоо,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Биеийнхээ талаар тавгүй байсан ч хүссэн үйл ажиллагаандаа оролцсон."
IM01,implementation_maintenance_friction,action_clarity,Төлөвлөгөө эхлүүлэх,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Юуг яг хэзээ хийх нь тодорхойгүйгээс төлөвлөгөөгөө эхлүүлээгүй."
IM02,implementation_maintenance_friction,setup_burden,Өдөр тутмын бэлтгэл,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон."
IM03,implementation_maintenance_friction,minimum_version,Завгүй эсвэл хүнд өдөр,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Завгүй өдөр хийх хамгийн жижиг хувилбар надад бэлэн байсан."
IM04,implementation_maintenance_friction,disruption,Хуваарь өөрчлөгдөхөд,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Өдрийн хуваарь өөрчлөгдөхөд төлөвлөгөө тэр чигтээ тасарсан."
IM05,implementation_maintenance_friction,resumption,Алгасалтын дараа,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Нэг удаа алгассан ч дараагийн боломж дээрээ эргэн үргэлжлүүлсэн."
IM06,implementation_maintenance_friction,repeatability,Хэд хэдэн өдөр,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Нэг өдөр хийж чадсан зүйлээ дараагийн өдрүүдэд давтахад хэцүү байсан."
AC01,response_quality,instructional_check,Судалгааны анхаарал шалгах,none,false,Одоогийн асуулт,0–4 frequency,Энгийн,false,none,None,original,research_only,"Энэ мөрөнд хариултын чанарыг шалгахын тулд «Заримдаа»-г сонгоно уу."
AC02,response_quality,semantic_consistency,Ердийн хариултын хэв маяг,none,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,none,None,original,research_only,"Сүүлийн 14 хоногт асуулт бүрт нэг ижил хариулт сонгох шаардлагатай мэт санагдсан."
