construct_a,construct_b,conceptual_overlap,discriminating_feature,likely_item_cross_loading,report_confusion_risk,validation_test_needed,preliminary_recommendation
restrictive_rebound,eating_self_efficacy,"Rigid deviations may reduce confidence in recovery.","RR measures rules/rebound; SE measures confidence.","RR06 with SE05; RR04 inverse with SE05.","Very high for recovery items.","ESEM/MTMM; item residuals; prospective lapse-resumption criterion","Retain conceptual separation but consider removing redundant recovery wording after evidence."
restrictive_rebound,habit_automaticity,"Rigid plans and automatic behavior can conflict.","RR is rule appraisal; HA is low deliberation/repetition.","RR04 with HA03 during lapse.","Moderate.","CFA/ESEM; prospective rule-cue diary","Keep separate."
restrictive_rebound,body_image_avoidance,"Body-related discomfort may motivate rigid attempts; both involve shame risk.","RR is eating-rule rigidity/rebound; BI is avoidance due to body appearance.","RR03/RR05 with BI04 through negative self-evaluation.","High report-confusion and stigma risk.","Discriminant distress/body-image comparators; longitudinal ordering; ESEM","Keep separate; do not infer appearance concern causes restraint."
restrictive_rebound,implementation_maintenance_friction,"Rigid plans may be hard to implement and collapse after disruption.","RR requires inflexible rules/evaluation; IM concerns setup, clarity, fallback, repetition regardless of rigidity.","RR01/RR04/RR06 with IM04/IM05.","Very high.","Competing factor models; ESEM; prospective deviation versus logistical disruption criteria","Key scientific decision; keep separate pending evidence and reduce shared resumption wording."
hunger_satiety_awareness,eating_self_efficacy,"Confidence may depend on ability to notice internal cues.","HS measures perception/use; SE measures confidence across situations.","HS02/HS04 with general SE, limited direct wording overlap.","Moderate.","MTMM; latent discriminant validity; prospective signal-use task","Keep separate."
hunger_satiety_awareness,habit_automaticity,"Automatic action may begin before internal signals are checked.","HS is signal awareness; HA is low deliberation in context.","HS02 with HA03/HA06.","Moderate.","Event-level timing; ESEM; criterion diary","Keep separate; interaction remains hypothesis-only."
hunger_satiety_awareness,body_image_avoidance,"Body awareness and appearance avoidance both mention the body but are conceptually distinct.","HS concerns internal hunger/fullness; BI concerns appearance-related participation.","Low semantic cross-loading if wording remains specific.","Moderate lay-report confusion around 'body awareness'.","CFA discriminant validity; cognitive interview terminology test","Keep separate and use distinct public labels."
hunger_satiety_awareness,implementation_maintenance_friction,"Unclear signals may complicate meal planning.","HS is internal perception; IM is action design and repeatability.","HS06 with IM01 if decisions are unclear.","Moderate.","Factor model; context-adjusted prospective planning criterion","Keep separate; revise HS06."
eating_self_efficacy,habit_automaticity,"Automatic behavior can weaken intention/confidence-behavior correspondence.","SE is perceived capability; HA is low-deliberation process.","SE04 with HA01/HA06.","High if confidence is interpreted as actual control.","MTMM; prospective moderated intention-behavior model; ESEM","Keep separate and test interaction only after main effects."
eating_self_efficacy,body_image_avoidance,"Avoidance can reduce mastery opportunities and confidence in visible situations.","SE is eating-specific confidence; BI is appearance-related avoidance.","SE03 with BI04/BI06.","Moderate.","Domain-specific self-efficacy comparator; social-anxiety control; CFA/ESEM","Keep separate; ensure SE remains eating-specific."
eating_self_efficacy,implementation_maintenance_friction,"Confidence and practical ability to execute/resume a plan are closely linked.","SE is belief in capability; IM is observed difficulty/plan architecture.","SE05/SE06 with IM03/IM05; strongest likely cross-loading.","Very high.","MTMM; prospective behavior; competing factor/higher-order models; temporal separation","Key scientific decision; retain distinct response formats and test rigorously."
habit_automaticity,body_image_avoidance,"Both can reduce deliberate choice, but in different behavioral domains.","HA concerns automatic eating actions; BI concerns appearance-based avoidance.","Low except general response style.","Low.","CFA discriminant validity; response-style sensitivity","Keep separate."
habit_automaticity,implementation_maintenance_friction,"Stable cues and repetition are central to both habit and maintenance.","HA measures automaticity of existing eating action; IM measures difficulty implementing intended actions.","HA02/HA06 with IM05/IM06.","High.","ESEM; behavior-specific anchors; prospective habit/adherence criteria","Keep separate by clearly naming target behavior and direction."
body_image_avoidance,implementation_maintenance_friction,"Avoidance may look like failure to implement movement/social plans.","BI requires appearance-related reason; IM concerns plan mechanics independent of appearance.","BI04/BI05 with IM04/IM06.","High when plans involve visible activity.","Context and social-anxiety controls; ESEM; domain-specific prospective outcomes","Keep separate; exclude movement/access context from BI item wording."
