item_key,original_text,proposed_text,change_type,issue_addressed,construct_preserved,response_scale_change,recall_period_change,adjudicator_agreement,requires_human_review,production_ready
RR03,Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүй гэж үзсэн.,Төлөвлөгөөгөө яг дагаагүй өдрөө бүтэлгүйтсэн гэж үзсэн.,minor_rewrite,Plan adherence and self-evaluation are combined; social-desirability cue; judgment/shame cue,requires_human_confirmation,none_proposed,none_proposed,2/4_same_disposition,true,false
RR04,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон.,Төлөвлөснөөс өөр идсэний дараа тэр өдрийн төлөвлөгөөгөө орхисон.,major_rewrite,Deviation and abandoning the whole day are multiple linked events; response-scale mismatch; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон.,Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо хэвийн хооллолтдоо орсон.,minor_rewrite,Normal rhythm and resumption are not applicable without a plan; response-scale mismatch; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,evaluate_alternative,none_proposed,3/4_same_disposition,true,false
HS01,Өлсөлт хэт хүчтэй болохоос өмнө биеийн дохиогоо анзаарсан.,Өлсөлт хэт хүчтэй болохоос өмнө өлсөж байгаагаа анзаарсан.,minor_rewrite,Биеийн дохио and excessively strong hunger are broad; social-desirability cue; reverse wording,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HS03,Өлссөнөө бие их сульдсаны дараа л анзаарсан.,Өлссөнөө маш их сульдсаны дараа л анзаарсан.,minor_rewrite,Бие сульдах can reflect causes other than hunger; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HS04,Тав тухтай цадсан мөчөө идэж байхдаа анзаарсан.,Идэж байхдаа таатайгаар цадсан мөчөө анзаарсан.,minor_rewrite,Тав тухтай цадсан is subjective; social-desirability cue; reverse wording,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HS06,Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй.,Биеийн дохиогоо идэж эхлэх эсвэл зогсоохдоо ашиглаж чадаагүй.,major_rewrite,Signal clarity and using it for start or stop are multiple decisions; response-scale mismatch; social-desirability cue; construct overlap,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
SE01,Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Стресстэй өдөр хоолны төлөвлөгөөгөө дагаж чадна гэдэгтээ хэр итгэлтэй вэ?,minor_rewrite,Past-period confidence and flexible plan are difficult to anchor; response-scale mismatch; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,evaluate_alternative,evaluate_alternative,3/4_same_disposition,true,false
SE02,Зав багатай үед өөрт тохирох боломжит хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Зав багатай үед хоолны тохирох сонголт хийж чадна гэдэгтээ хэр итгэлтэй вэ?,minor_rewrite,Possible choice is unspecified and confidence is recalled; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,evaluate_alternative,3/4_same_disposition,true,false
SE03,Бусадтай хамт хооллох үед өөрийн сонголтоо тайван хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Бусадтай хамт хооллох үед өөрийн сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй вэ?,minor_rewrite,Тайван combines choice with emotional composure; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,evaluate_alternative,3/4_same_disposition,true,false
SE04,Идэх зүйл ойрхон байсан ч идэх эсэхээ бодож сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Идэх зүйл ойрхон байсан ч идэх эсэхээ сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,minor_rewrite,Thinking and choosing may be two actions; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,evaluate_alternative,3/4_same_disposition,true,false
SE05,Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээр эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо эргэн орж чадна гэдэгтээ хэр итгэлтэй вэ?,minor_rewrite,Resumption presumes a plan and a prior deviation; response-scale mismatch; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,evaluate_alternative,evaluate_alternative,3/4_same_disposition,true,false
SE06,Ядарсан үедээ ч өөрт боломжтой хамгийн жижиг хувилбарыг сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Ядарсан үедээ хийж болох хамгийн энгийн хоолны сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй вэ?,major_rewrite,Small version is undefined and confidence is recalled; response-scale mismatch; recall-period mismatch; social-desirability cue; construct overlap,requires_human_confirmation,evaluate_alternative,evaluate_alternative,4/4_same_disposition,true,false
HA01,Тодорхой цаг эсвэл газар болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан.,Тодорхой газар болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан.,minor_rewrite,Time and place cues are combined with automatic action; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
HA02,Нэг үйлдлийн дараа юм идэх нь автоматаар үргэлжилдэг дараалал болсон.,Тодорхой үйлдлийн дараа юм идэх нь өөрөө давтагддаг болсон.,major_rewrite,Action sequence and automatic continuation are abstract; response-scale mismatch; construct overlap,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
HA03,Идэж эхэлснээ хэдийн эхэлсний дараа анзаарсан.,Идэж эхэлснээ хэсэг хугацааны дараа анзаарсан.,minor_rewrite,Awareness lag has no clear reference point; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HA04,Танил орчинд ороход идэх үйлдэл өөрөө эхэлдэг мэт байсан.,Танил орчинд байхдаа бодолгүйгээр идэж эхэлсэн.,minor_rewrite,Tanil orчин and automatic start are broad; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HA05,Зууш авахдаа үнэхээр хүсэж байгаа эсэхээ бодолгүй сонгосон.,Зууш авахдаа идэх хүсэлтэй эсэхээ бодолгүй сонгосон.,minor_rewrite,Үнэхээр хүсэх is subjective; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
HA06,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд хийсэн.,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо бодож хийсэн.,minor_rewrite,Repeated context and deliberate choice are broad positive concepts; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
BI04,Биеийн төрхдөө санаа зовсноос хүмүүстэй хийх үйл ажиллагаанаас татгалзсан.,Биеийн төрхдөө санаа зовсноос хүмүүсийн дунд хийх үйл ажиллагаанаас зайлсхийсэн.,minor_rewrite,Social activity and withdrawal can be broad; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
BI06,Биеийнхээ талаар тавгүй байсан ч хүссэн үйл ажиллагаандаа оролцсон.,Биеийнхээ талаар тавгүй байсан ч хийхийг хүссэн зүйлдээ оролцсон.,minor_rewrite,Desired activity and body discomfort are positive reverse content with non-applicability; response-scale mismatch; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,evaluate_alternative,none_proposed,2/4_same_disposition,true,false
IM02,Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон.,Олон бэлтгэл шаардлагатай байсан тул төлөвлөснөө хойшлуулсан.,minor_rewrite,Preparation burden and plan are unspecified; response-scale mismatch,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
IM03,Завгүй өдөр хийх хамгийн жижиг хувилбар надад бэлэн байсан.,Завгүй өдөр хоолны төлөвлөгөөнийхөө хамгийн энгийн хувилбарыг урьдчилж бэлдсэн.,major_rewrite,Small version and what is ready are undefined; response-scale mismatch; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
IM05,Нэг удаа алгассан ч дараагийн боломж дээрээ эргэн үргэлжлүүлсэн.,Нэг удаа төлөвлөгөөгөө алгассан ч дараагийн удаа эргэн үргэлжлүүлсэн.,minor_rewrite,Skipping and next opportunity presume an ongoing plan; response-scale mismatch; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
AC01,Энэ мөрөнд хариултын чанарыг шалгахын тулд «Заримдаа»-г сонгоно уу.,Энэ асуултад «Заримдаа»-г сонгоно уу.,hold,Instructional check is not a frequency experience; response-scale mismatch; recall-period mismatch,requires_human_confirmation,evaluate_alternative,evaluate_alternative,3/4_same_disposition,true,false
AC02,Сүүлийн 14 хоногт асуулт бүрт нэг ижил хариулт сонгох шаардлагатай мэт санагдсан.,Сүүлийн 14 хоногт асуултуудад ижил хариулт өгөх хэрэгтэй мэт санагдсан.,major_rewrite,Perceived required sameness is unclear without a survey context; response-scale mismatch; construct overlap,requires_human_confirmation,evaluate_alternative,none_proposed,2/4_same_disposition,true,false
