review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,seed,item_order_hash,input_file,output_file,synthetic_review_only
ER-R4-B,R4,dietitian_weight_management,plain-language-v2,GPT-5.6,gpt-5.6-sol,12087128413131146017,215a9e8a5b5807fc033a10885cac611b0ee40250655db8f5cf32e3bcf3dabe28,expert-run-inputs/ER-R4-B.json,expert-run-outputs/ER-R4-B.csv,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,7028522761756589401,843daa3f190fdc724ee4d0d8b50b3cd9ef1fdd0dcf960ad971529843f58dc94d,expert-run-inputs/ER-R4-C.json,expert-run-outputs/ER-R4-C.csv,true
ER-R5-A,R5,mongolian_language_culture,strict-content-v2,GPT-5.6,gpt-5.6-sol,13908920916222979803,613b53e5de98644b6bf99c43e45d222d6691a2f8335f9e6413b5f25aa0120aa6,expert-run-inputs/ER-R5-A.json,expert-run-outputs/ER-R5-A.csv,true
ER-R5-B,R5,mongolian_language_culture,plain-language-v2,GPT-5.6,gpt-5.6-terra,14861015131857575438,2299f10ab5badbe47bfac8dd45e41b031a3fffdb723d866565aa4e95d2ddb0a0,expert-run-inputs/ER-R5-B.json,expert-run-outputs/ER-R5-B.csv,true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,7410338048293734099,3709b3c63886b08bb13f10d18254f0564226c701807f1bd4f8a8644f5b4018a7,expert-run-inputs/ER-R5-C.json,expert-run-outputs/ER-R5-C.csv,true
ER-R6-A,R6,cognitive_interview_method,strict-content-v2,GPT-5.6,gpt-5.6-terra,8383760345844992635,4cd4d76f9c37a03ad0d5fc8384f13dc48e72b53e1f7f855e20da326c94146fa3,expert-run-inputs/ER-R6-A.json,expert-run-outputs/ER-R6-A.csv,true
ER-R6-B,R6,cognitive_interview_method,plain-language-v2,GPT-5.6,gpt-5.6-sol,8374175729204830797,5dbb512946533f0c1d36efce66b75dd673ca8c918af7bfb07e246e36df0becd8,expert-run-inputs/ER-R6-B.json,expert-run-outputs/ER-R6-B.csv,true
ER-R6-C,R6,cognitive_interview_method,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,7952494285008656011,ec19dae675b016680f48f1e071c2d9face2c35408a18eadd940dd6753cece29e,expert-run-inputs/ER-R6-C.json,expert-run-outputs/ER-R6-C.csv,true
ER-R7-A,R7,ethics_safety,strict-content-v2,GPT-5.6,gpt-5.6-sol,12873230729810165080,ad4e426648a8ff591bfcfbd02c33069dd4429e7d25d06af9f2a54052a8a476fc,expert-run-inputs/ER-R7-A.json,expert-run-outputs/ER-R7-A.csv,true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,4235050446894522885,f2d16137c693753dc35879ca3077e5a4781eaf00dc05a4dfcff0763fadcbaf91,expert-run-inputs/ER-R7-B.json,expert-run-outputs/ER-R7-B.csv,true
ER-R7-C,R7,ethics_safety,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,6964741897327948738,a91b428d7b6f89c4c879014f8c7b9908127e9952413dd89ebaf3bbbb60ab2cbe,expert-run-inputs/ER-R7-C.json,expert-run-outputs/ER-R7-C.csv,true
ER-R8-A,R8,measurement_data_science,strict-content-v2,GPT-5.6,gpt-5.6-terra,4367404448088021419,65ea3f2a2197386ff4bee277401bc7ddb4ca1ab517eb713ac120419e3c0e4012,expert-run-inputs/ER-R8-A.json,expert-run-outputs/ER-R8-A.csv,true
ER-R8-B,R8,measurement_data_science,plain-language-v2,GPT-5.6,gpt-5.6-sol,14529215025414870235,eb8528135f0a2d51dfdad3655c8405da7a80b357b40218bb8758405f2dcce218,expert-run-inputs/ER-R8-B.json,expert-run-outputs/ER-R8-B.csv,true
ER-R8-C,R8,measurement_data_science,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,4878243650079059125,119bb00a28a62b5533bc54ef64ce2b8322ef8864e8ff13c18365f394ec390274,expert-run-inputs/ER-R8-C.json,expert-run-outputs/ER-R8-C.csv,true
