persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P03,8,BI05,Хүмүүс биеийг минь харах вий гэж санаа зовоод хөдөлгөөн хийхээс зайлсхийсэн.,Гадаа гүйхээр төлөвлөсөн ч хүмүүс харна гэж бодоод гараагүй.,true,Олон удаа,true,хөдөлгөөн хийх,false,true,false,false,5,Зайлсхийсэн үйлдэл болон шалтгааныг ойрын хугацаанд санаж чадна.,true
P03,9,UC03,Цадсанаа мэдсэн ч идсээр байсан.,Оройн хоолны дараа цадсан ч тавагныхаа үлдсэнийг идсэн.,true,Заримдаа,true,,false,false,false,false,5,Цадах мэдрэмжийн дараах идэлтийг давтамжаар хариулж чадна.,true
P03,10,EC06,Хоол харах эсвэл үнэрлэхэд анхаарлаа өөр зүйл рүү буцааж чадсан.,Дэлгүүрт нарийн боовны үнэр үнэртэхэд хийх ажлаа үргэлжлүүлсэн.,true,Заримдаа,true,анхаарлаа буцааж,false,false,true,false,4,Хоёр өдөөгчийг нэг хариултад нэгтгэсэн ч жишээгээр хариулж чадна.,true
P03,11,HS05,Цадсан эсэхээ сайн мэдэхгүй байсан.,Хоолны дараа дахин идэх эсэхээ шийдэхдээ цадсанаа эргэлзсэн.,true,Заримдаа,true,,false,false,false,false,4,Биеийн мэдрэмжийн эргэлзээг ойрын жишээгээр ангилж чадна.,true
P03,12,IM03,Завгүй өдөр хийх хамгийн амархан хувилбар надад урьдчилж бэлэн байсан.,Завгүй өдөр хэрэглэх хурдан хоолны сонголтоо урьдчилж бодсон байсан.,true,Заримдаа,true,хамгийн жижиг хувилбар,false,false,false,false,3,Бэлэн гэсэн утга болон жижиг хувилбарын хэмжээ тодорхой бус байна.,true
P03,13,EE06,Таагүй мэдрэмж төрөхөд хоол идэхгүйгээр давж чадсан.,Стресстэй мэдээ авсны дараа идэхийн оронд алхаж тайвширсан.,true,Ховор,true,Таагүй мэдрэмж,true,false,true,false,4,Таагүй мэдрэмжийн олон төрлийг нэгтгэж байгаа ч ойрын жишээгээр хариулж чадна.,true
P03,14,EC01,Өлсөөгүй мөртлөө хоол хараад идмээр санагдсан.,Кафены бялуу хараад өлсөөгүй ч идэх хүсэл төрсөн.,true,Олон удаа,true,,false,false,false,false,5,Хоол харах үеийн хүслийг 14 хоногийн давтамжаар хариулж чадна.,true
P04,1,IM02,Бэлтгэл их хэрэгтэй болохоор төлөвлөснөө хойшлуулсан.,Хүүхдээ харж байхдаа хэрэгтэй зүйлсээ бэлдэж амжилгүй төлөвлөснөө хойш тавьсан.,true,not_applicable,false,олон бэлтгэл,false,false,true,true,3,Сүүлийн 14 хоногт хэрэгжүүлсэн төлөвлөгөө байсан эсэх тодорхойгүй тул тохирох сонголт алга.,true
P04,2,EC02,Хоолны үнэр үнэртэхэд идэхээр шийдсэн.,Хоол хийх үнэр үнэртээд төлөвлөөгүй байхад амсаж үзсэн.,true,Заримдаа,true,нөлөөлсөн,false,false,false,false,4,Үнэрээс болж идэхээр шийдсэн хэдэн тохиолдлыг санаж болохоор байна.,true
P04,3,UC06,Хооллож байхдаа зогсоод цааш идэх үү гэж бодож чадсан.,Хүүхдээ хооллох зуур өөрийнхөө идэхийг түр зогсоож цадсан эсэхээ бодсон.,true,Ховор,true,түр зогсоод,false,false,true,false,4,Ийм түр зогсолт ховор байсан ч сонголтуудаас хариулж чадна.,true
P04,4,RR03,Төлөвлөгөөгөө яг биелүүлээгүй өдрөө бүтэлгүй өдөр гэж бодсон.,Төлөвлөснөөс өөр хоол идсэн өдрөө бүх зүйл нурсан мэт бодсон.,true,not_applicable,false,яг дагаагүй,false,true,true,true,3,Сүүлийн 14 хоногт дагасан төлөвлөгөө байсан эсэх өгөгдөөгүй тул давтамж сонгох боломжгүй.,true
P04,5,EE06,Таагүй санагдсан үед хоолоор аргацаалгүй өнгөрөөж чадсан.,Санаа тавгүй үедээ юм идэлгүй өдөр тутмын ажлаа үргэлжлүүлсэн.,true,Олон удаа,true,таагүй мэдрэмж,false,false,true,false,4,Таагүй мэдрэмжийн үеийг ерөнхийд нь санаж олон удаа гэж сонгов.,true
P04,6,HS06,"Өлсөх эсвэл цадах нь мэдэгдсэн ч идэж эхлэх, зогсохоо шийдэхдээ ашиглаж чадаагүй.",Ажилтай үед өлссөнөө мэдсэн ч хоолоо хойшлуулсан.,true,Заримдаа,false,биеийн дохио тодорхой,true,false,true,false,3,Эхлэх ба зогсох гэсэн хоёр шийдвэр хамт байгаа тул нэг давтамж сонгоход эргэлзээтэй.,true
P04,7,HA01,Тодорхой цаг эсвэл газарт очихоороо бодолгүй юм идэхээр авсан.,Гал тогоонд ороход ширээн дээрх идэх зүйлээс бодолгүй авсан.,true,Заримдаа,true,тодорхой цаг эсвэл газар,true,false,true,false,4,Цаг ба газар хоёр нөхцөлтэй ч ийм үйлдэл заримдаа болсон гэж хариулж чадна.,true
P04,8,UC01,Идэж эхэлмэгц хүссэн үедээ болих амаргүй байсан.,Хоолоо идэж эхлээд цадсан ч шууд зогсоход хэцүү байсан.,true,Ховор,true,хүссэн үедээ,false,false,true,false,4,Зогсоход хэцүү байсан тохиолдол ховор гэж сонгов.,true
P04,9,RR06,Төлөвлөснөөс өөрөөр идсэн ч дараагийн хоолноосоо хэвийн болсон.,Нэг хоолонд төлөвлөөгүй зүйл идээд дараагийн хоолондоо өмнөх хэмнэлдээ орсон.,true,not_applicable,false,хэвийн хэмнэл,false,false,true,true,3,Одоогийн төлөвлөгөө болон хэвийн хэмнэл тодорхойгүй тул тохирох сонголт алга.,true
P04,10,HS03,Бие сулартал өлссөнөө анзаараагүй.,Ажилдаа завгүй яваад бие сулрах үед л өлссөнөө мэдсэн.,true,Заримдаа,true,их сульдсаны дараа,false,false,true,false,4,Завгүй өдрүүдэд ийм зүйл заримдаа тохиолдсоныг санаж болно.,true
P04,11,BI03,Биеийнхээ харагдах байдлаас болоод хүссэн хувцсаа өмсөөгүй.,Өмсөхийг хүссэн хувцас байсан ч биед зохихгүй мэт санагдаад өөр хувцас сонгосон.,true,Заримдаа,true,биеийн төрхөөсөө болж,false,true,true,false,4,Хувцас сонгоогүй тохиолдол заримдаа байсан гэж хариулж болох ч асуулт эвгүй мэдрэмж төрүүлж болно.,true
P04,12,SE03,Бусадтай хооллохдоо өөрийн хүссэн сонголтоо тайван хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Гэр бүлийнхэнтэйгээ хооллохдоо өөрт тохирох хоолоо сонгох гэж бодсон.,true,Дунд зэрэг итгэлтэй,true,тайван хийж чадна,false,false,true,false,4,Хамт хооллосон үеэ бодоод дунд зэрэг итгэлтэй гэж сонгов.,true
P04,13,SE01,Стресстэй өдөр сонгосон уян хатан хоолны төлөвлөгөөгөө барьж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,"Ажил, хүүхдийн асаргаа давхацсан өдөр урьдчилан сонгосон хоолоо идэхийг оролдсон.",true,Бага зэрэг итгэлтэй,false,уян хатан хоолны төлөвлөгөө,false,false,true,true,3,Уян хатан төлөвлөгөө гэж яг юуг хэлснийг сайн мэдэхгүй ч ачаалалтай үед итгэл бага гэж сонгов.,true
P04,14,IM06,Нэг өдөр чадсан зүйлээ дараагийн өдрүүдэд дахин хийх хэцүү байсан.,Нэг өдөр хоолоо урьдчилан бэлдсэн ч маргааш нь дахин амжаагүй.,true,Олон удаа,false,хийж чадсан зүйл,false,false,true,false,3,Ямар үйлдлийг хэлснийг тодруулаагүй ч өдөр бүр давтахад олон удаа хэцүү байсан гэж сонгов.,true
P05,1,HA06,Давтагддаг үед идэхийнхээ өмнө сонголтоо санаатай хийсэн.,Ажлын цайны цагаар хоолоо урьдчилж сонгосон.,true,Заримдаа,true,Давтагддаг нөхцөл,false,false,true,false,3,Давтагддаг нөхцөл гэдэг нь яг ямар үе болох нь тодорхой биш.,true
P05,2,EC02,Хоолны үнэр намайг идэхээр шийдэхэд нөлөөлсөн.,Оффисын ойролцоох хоолны үнэртээд зууш авсан.,true,Олон удаа,true,,false,false,false,false,4,Үнэр болон идэх шийдвэрийн холбоо ойлгомжтой.,true
P05,3,UC02,Бодсоноосоо их хэмжээгээр идсэн.,Оройн хоолонд төлөвлөснөөсөө илүү порц идсэн.,true,Олон удаа,true,Анх бодсоноосоо,false,false,false,false,4,Эхний төлөвлөсөн хэмжээ нь зарим үед тодорхой санагдахгүй байж болно.,true
P05,4,HS01,Маш их өлсөхөөсөө өмнө биеийнхээ дохиог анзаарсан.,Ажиллаж байхдаа өлсөж эхэлснээ мэдээд завсарласан.,true,Заримдаа,true,Биеийн дохио,false,false,true,false,3,Биеийн дохио нь хүн бүрт өөрөөр ойлгогдож болно.,true
P05,5,EE01,Стресстэй үедээ өлсөөгүй ч юм идсэн.,Ажлын дарамттай өдөр өлсөөгүй мөртлөө чихэр идсэн.,true,Олон удаа,true,,false,true,false,false,5,Нөхцөл болон өлсөөгүй үед идсэн үйлдэл тодорхой.,true
P05,6,HA04,Танил газар очиход идэх хүсэл автоматаар эхэлсэн мэт санагдсан.,Кино театрт ороод шууд попкорн авахыг хүссэн.,true,Олон удаа,true,өөрөө эхэлдэг мэт,false,false,false,false,3,Автоматаар эхэлдэг мэт гэсэн хэллэг нь дүрслэлтэй боловч бага зэрэг бүдэг.,true
P05,7,RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо ердийн хэмнэлдээ орсон.,Төлөвлөөгүй амттан идсэний дараа дараагийн хоолоо хэвийн идсэн.,true,Заримдаа,true,хэвийн хэмнэл,false,false,true,false,3,Хэвийн хэмнэл гэдэг нь хувь хүнд өөр утгатай.,true
P05,8,BI04,Биеийнхээ төрхөд санаа зовсноос хүмүүстэй хийх зүйлээс татгалзсан.,Найзуудын уулзалтад өөрийн төрхөөс санаа зовоод очоогүй.,true,Огт байгаагүй,true,,false,true,false,false,5,Үйл ажиллагаанаас татгалзсан эсэхийг тодорхой асууж байна.,true
P05,9,BI01,Биеийнхээ төрхөөс санаа зовоод зураг авахуулахаас зайлсхийсэн.,Ажлын арга хэмжээнд хамт олонтойгоо зурагт ороогүй.,true,Ховор,true,,false,true,false,false,5,Зураг авахуулах үйлдэл тодорхой.,true
P05,10,EC06,Хоол харсан эсвэл үнэртсэн үед анхаарлаа өөр зүйл рүү буцааж чадсан.,Кафены үнэр гарахад ажлынхаа зүйлд дахин төвлөрсөн.,true,Заримдаа,true,,true,false,true,false,4,Хоол харах болон үнэртэх хоёр нөхцөл нэг асуултад орсон.,true
P05,11,AC01,Энэ асуултад «Заримдаа»-г сонгох заавар өгсөн.,Зааврын дагуу гурав дахь сонголтыг тэмдэглэсэн.,true,Заримдаа,true,,false,false,false,false,5,Сонгох хариултыг шууд заасан.,true
P05,12,IM01,Юуг хэзээ хийх нь тодорхойгүй учраас төлөвлөгөөгөө эхлүүлээгүй.,"Дасгалын цаг, газар шийдээгүйгээс эхлээгүй.",true,Заримдаа,true,төлөвлөгөө,false,false,false,true,4,Төлөвлөгөө нь ямар төлөвлөгөө болох нь заагдаагүй бөгөөд байхгүй хүнд тохирохгүй.,true
P05,13,IM02,Олон бэлтгэл хэрэгтэй байсан учраас төлөвлөгөөгөө хойшлуулсан.,Хоол бэлтгэх олон зүйл хэрэгтэй санагдаад эхлэхээ хойшлуулсан.,true,Заримдаа,true,олон бэлтгэл,false,false,false,true,4,Ямар бэлтгэл шаардагдсаныг тодорхойлоогүй бөгөөд төлөвлөгөөгүй хүнд тохирохгүй.,true
P05,14,SE06,Ядарсан үедээ ч хийх боломжтой хамгийн жижиг зүйлийг сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Ядарсан орой богино алхалтыг сонгож чадна гэж бодсон.,true,Дунд зэрэг итгэлтэй,true,хамгийн жижиг хувилбар,false,false,true,false,3,Хамгийн жижиг хувилбар нь хүн бүрт өөрөөр тодорхойлогдоно.,true
P06,1,AC01,Хариултаа шалгуулахын тулд Заримдаа гэдгийг сонгоно.,Зааврын дагуу Заримдаа дээр дарна.,true,Заримдаа,true,,false,false,true,false,5,Шууд заавар тул өгсөн сонголтыг сонгов.,true
P06,2,EE04,Ганцаардах үед юм идмээр болдог байсан.,Шөнийн ээлжийн завсарлагаар ганцаардаад зууш хүссэн.,true,Заримдаа,true,,false,false,false,false,4,Ийм үе хааяа байсан гэж сонгов.,true
P06,3,UC03,Цадсанаа мэдсэн ч идсээр байсан.,Оройн хоолонд цадсан ч таваг дээрхийг дуусгасан.,true,Ховор,true,,false,false,true,false,4,Арван дөрөв хоногт цөөн тохиолдсон гэж сонгов.,true
P06,4,SE05,Төлөвлөгөөнөөс өөр идсэн ч дараа нь буцаад дагаж чадна гэж итгэсэн.,Ээлж солигдоод өөр хоол идсэн ч дараагийн хоолноос төлөвлөгөөгөө үргэлжлүүлсэн.,true,Дунд зэрэг итгэлтэй,true,дараагийн боломж,false,false,true,true,3,Ийм тохиолдол гараагүй байж болох ч тохирох сонголт алга.,true
P06,5,EC06,Хоолны үнэр эсвэл дүрс анхаарал татсан ч өөр зүйлдээ төвлөрч чадсан.,Ажлын өрөөнд хоол үнэртэхэд хийх ажилдаа буцсан.,true,Заримдаа,true,,false,false,true,true,3,Хоол хараагүй эсвэл үнэртээгүй үеийн сонголт байхгүй.,true
P06,6,HA06,Байнга давтагддаг үед идэх зүйлээ урьдчилж бодож сонгосон.,Шөнийн ээлжийн завсарлага бүрт зуушаа зориуд сонгосон.,true,Ховор,true,давтагддаг нөхцөл,false,false,true,true,3,Үг нь ерөнхий боловч цөөн удаа зориуд сонгосноо санав.,true
P06,7,SE01,Стресстэй өдөр өөрийн уян хатан хоолны төлөвлөгөөг дагаж чадна гэж итгэсэн.,Ажил ихтэй шөнийн ээлжинд бэлдсэн хоолоо идэхээр төлөвлөсөн.,true,Бага зэрэг итгэлтэй,true,уян хатан хоолны төлөвлөгөө,false,false,true,true,3,Өөрийн гэсэн ийм төлөвлөгөөгүй хүнд тохирох хариулт алга.,true
P06,8,RR01,Хоолны дүрмээ бага зэрэг зөрөхөд бүх төлөвлөгөө бүтэлгүйтсэн мэт болсон.,Төлөвлөөгүй амттан идээд тэр өдрийн төлөвлөгөөг орхисон мэт санагдсан.,true,Ховор,true,төлөвлөгөө нурсан,false,true,true,true,3,Тодорхой хоолны дүрэмгүй хүнд хамаарахгүй сонголт алга.,true
P06,9,BI06,Биедээ тавгүй санагдсан ч хийхийг хүссэн зүйлдээ оролцсон.,Биеийнхээ талаар санаа зовсон ч гэр бүлийн уулзалтад очсон.,true,Заримдаа,true,тавгүй,false,false,true,true,3,Хүссэн үйл ажиллагаа гараагүй үед сонгох хариулт байхгүй.,true
P06,10,IM04,Өдрийн хуваарь солигдоход төлөвлөгөө бүрэн зогссон.,Ээлж гэнэт өөрчлөгдөхөд хоолны төлөвлөгөөгөө дагаж чадаагүй.,true,Олон удаа,true,төлөвлөгөө тэр чигтээ тасарсан,false,true,true,true,4,Хуваарь олон өөрчлөгдсөн тул давтамж өндөр гэж сонгов.,true
P06,11,HS03,Бие их сульдсаны дараа л өлссөнөө мэдсэн.,Шөнийн ээлжинд ажиллаж байгаад хүчгүй болох үедээ өлссөнөө анзаарсан.,true,Заримдаа,true,,false,false,false,false,4,Сүүлийн хоёр долоо хоногт хэд хэд тохиолдсон гэж санав.,true
P06,12,EC03,Хоол ойр бэлэн байсан болохоор төлөвлөөгүй үед идсэн.,Ажлын ширээн дээр зууш байхад завсарлагаас өмнө идсэн.,true,Олон удаа,true,,false,false,true,false,4,Бэлэн зуушнаас төлөвлөөгүй үед олон удаа идсэн гэж сонгов.,true
P06,13,UC06,Идэж байхдаа зогсоод цааш идэх эсэхээ бодож чадсан.,Оройн хоолны дундуур түр зогсоод дахин идэх хэрэгтэй эсэхээ бодсон.,true,Ховор,true,,false,false,true,false,4,Ингэж түр зогссон үе цөөн байсан гэж сонгов.,true
P06,14,AC02,Бүх асуултад ижил хариу өгөх ёстой юм шиг санагдсан.,Асуултуудыг бөглөхдөө нэг сонголтыг давтаад байх хэрэгтэй мэт бодсон.,true,Огт байгаагүй,true,,false,false,false,false,5,Ижил хариу сонгох шаардлага мэдрэгдээгүй гэж тэмдэглэв.,true
