persona_code,block_order,item_key,item_text,recall_period,response_scale,response_options,sensitive,assignment_seed,assignment_hash,synthetic_review_only
P01,1,RR01,Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P02,5,HS06,Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,6,EE01,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,7,RR04,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,8,HA02,Нэг үйлдлийн дараа юм идэх нь автоматаар үргэлжилдэг дараалал болсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,9,EC03,Идэх зүйл ойрхон бэлэн байснаас төлөвлөөгүй үедээ идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,10,SE05,Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээр эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,11,RR03,Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүй гэж үзсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,12,UC06,Идэж байхдаа түр зогсоод үргэлжлүүлэх эсэхээ бодож чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,13,HS03,Өлссөнөө бие их сульдсаны дараа л анзаарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,14,SE04,Идэх зүйл ойрхон байсан ч идэх эсэхээ бодож сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P03,1,HA02,Нэг үйлдлийн дараа юм идэх нь автоматаар үргэлжилдэг дараалал болсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,2,UC04,Идэж байхдаа үйлдлээ өөрөө удирдаж чадахгүй мэт санагдсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,3,RR04,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,4,SE02,Зав багатай үед өөрт тохирох боломжит хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,5,IM02,Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,6,EE03,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,7,BI03,Биеийн төрхөөсөө болж өмсөхийг хүссэн хувцсаа сонгоогүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,8,BI05,Бусад хүн биеийг минь анзаарах вий гэж бодоод хөдөлгөөн хийхээс зайлсхийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,9,UC03,Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,10,EC06,Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,11,HS05,Цадсан эсэхээ мэдэхэд эргэлзсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,12,IM03,Завгүй өдөр хийх хамгийн жижиг хувилбар надад бэлэн байсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,13,EE06,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P03,14,EC01,Өлсөөгүй байсан ч хоол хараад идэх хүсэл төрсөн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,true
P04,1,IM02,Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,2,EC02,Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,3,UC06,Идэж байхдаа түр зогсоод үргэлжлүүлэх эсэхээ бодож чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,4,RR03,Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүй гэж үзсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,5,EE06,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,6,HS06,Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,7,HA01,Тодорхой цаг эсвэл газар болоход бодолгүйгээр идэх зүйл рүү гараа сунгасан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,8,UC01,Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,9,RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,10,HS03,Өлссөнөө бие их сульдсаны дараа л анзаарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,11,BI03,Биеийн төрхөөсөө болж өмсөхийг хүссэн хувцсаа сонгоогүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,12,SE03,Бусадтай хамт хооллох үед өөрийн сонголтоо тайван хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,13,SE01,Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P04,14,IM06,Нэг өдөр хийж чадсан зүйлээ дараагийн өдрүүдэд давтахад хэцүү байсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,true
P05,1,HA06,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд хийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,2,EC02,Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,3,UC02,Анх бодсоноосоо илүү хэмжээгээр идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,4,HS01,Өлсөлт хэт хүчтэй болохоос өмнө биеийн дохиогоо анзаарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,5,EE01,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,6,HA04,Танил орчинд ороход идэх үйлдэл өөрөө эхэлдэг мэт байсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,7,RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,8,BI04,Биеийн төрхдөө санаа зовсноос хүмүүстэй хийх үйл ажиллагаанаас татгалзсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,9,BI01,Биеийн төрхөөсөө санаа зовж зураг авахуулахаас зайлсхийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,10,EC06,Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,11,AC01,Энэ мөрөнд хариултын чанарыг шалгахын тулд «Заримдаа»-г сонгоно уу.,Одоогийн асуулт,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,12,IM01,Юуг яг хэзээ хийх нь тодорхойгүйгээс төлөвлөгөөгөө эхлүүлээгүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,13,IM02,Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P05,14,SE06,Ядарсан үедээ ч өөрт боломжтой хамгийн жижиг хувилбарыг сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,false,2026075065,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,true
P06,1,AC01,Энэ мөрөнд хариултын чанарыг шалгахын тулд «Заримдаа»-г сонгоно уу.,Одоогийн асуулт,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,2,EE04,Ганцаардсан мэдрэмж төрөхөд идэх хүсэл нэмэгдсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,3,UC03,Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,4,SE05,Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээр эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,5,EC06,Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,6,HA06,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд хийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,7,SE01,Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,8,RR01,Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,9,BI06,Биеийнхээ талаар тавгүй байсан ч хүссэн үйл ажиллагаандаа оролцсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,10,IM04,Өдрийн хуваарь өөрчлөгдөхөд төлөвлөгөө тэр чигтээ тасарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
P06,11,HS03,Өлссөнөө бие их сульдсаны дараа л анзаарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,true
