persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP01,SP01,1,B013,Идэж байгаагаа хэсэг хугацааны дараа л мэдсэн.,Хичээлийн завсарлагаар утсаа үзэж байхдаа зууш идэж эхэлснээ дараа нь анзаарна.,true,Бага зэрэг тохирно,true,хэсэг хугацааны дараа,false,false,false,false,4,Утсаа үзэх үед анзааралгүй идэж эхлэх нь хааяа тохиолдож болох тул бага зэрэг тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,1,B034,Нэг байнга хийдэг зүйлээ дуусгахаар өөрийн эрхгүй юм идэж эхэлдэг.,Оройн ээлжээ тараад гэртээ ороход өлсөөгүй байсан ч шууд зууш авдаг.,true,Ихэнхдээ тохирно,true,Тогтмол хийдэг нэг зүйл,false,false,false,false,4,Ээлж тарсны дараа зууш авах байдал олонтоо давтагддаг тул энэ хариуг сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,2,B035,Завгүй үедээ өмнө нь сонгож тавьсан амархан хоолоо идсэн.,Ажлын завсарлага богино үед гэрээс авчирсан энгийн хоолоо идэхийн оронд заримдаа бэлэн зүйл авдаг.,true,Заримдаа,true,,false,false,false,false,4,Сүүлийн 14 хоногт урьдчилан сонгосон хоол байсан үедээ заримдаа хэрэглэсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,3,B040,Байнга давтагддаг үед идэхээсээ өмнө юу сонгохоо боддог.,Ажлын ойролцоох дэлгүүрт ороод шууд авахын оронд юу идэхээ түр боддог.,true,Дунд зэрэг тохирно,true,Давтагддаг нөхцөл,false,false,false,false,3,Заримдаа түр бодож сонгодог ч яарсан үедээ шууд авдаг тул дунд хариулт сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,4,B015,Энэ асуулгын зарим асуулт бараг адилхан санагдсан.,Одоогийн асуулгыг бөглөхөд хоол харах болон идэхээ бодох тухай хэдэн асуулт төстэй санагдсан.,true,Дунд зэрэг санал нийлнэ,true,Хэт төстэй,false,false,false,false,4,Одоогийн асуулгын үеэр хэдэн асуулт төстэй санагдсан ч бүгд адил байгаагүй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,5,B004,Идэж байхдаа цааш идэх үү гэж бодоод түр зогсож чадсан.,"Хоолны порцоо дуусгахаас өмнө халбагаа тавьж, дахиад идэх эсэхээ бодсон.",true,Заримдаа,true,,false,false,false,false,4,Сүүлийн 14 хоногт хооллож байхдаа хэд хэдэн удаа түр зогссон ч тогтмол байгаагүй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,6,B005,Хоол хараад татагдсан ч анхаарлаа өөр юм руу шилжүүлж чадсан.,Лангуун дээрх амттанг хараад авахыг хүссэн ч ажилдаа буцаад анхаарсан.,true,Ховор,true,Анхаарлаа өөр зүйлд буцаах,false,false,false,false,3,Сүүлийн 14 хоногт хоол харахад анхаарлаа өөр тийш шилжүүлсэн тохиолдол цөөн байсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,7,B010,Биеэсээ болж тавгүй байсан ч хүссэн зүйлдээ оролцсон.,Найзуудтайгаа гарахдаа биеийнхээ талаар тавгүй санагдсан ч хамт явсан.,true,Ийм нөхцөл тохиолдоогүй,true,Биеийнхээ талаар тавгүй,false,false,true,false,4,Сүүлийн 30 хоногт биеийнхээ талаар тавгүйрхээд оролцох эсэхээ шийдэх нөхцөл гараагүй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,8,B031,Маш их өлсөхөөсөө өмнө өлсөж эхэлснээ мэдсэн.,Урт ээлжийн дундуур гэдэс өлсөж эхэлснийг анзаарсан ч завсарлага хүртэл хүлээсэн.,true,Ховор,true,Өлсөлт хэт хүчтэй,false,false,false,false,4,Сүүлийн 14 хоногт их өлсөхөөсөө өмнө анзаарсан удаа цөөн байсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,9,B037,Төлөвлөөгүй юм идсэн ч дараагийн хоолноосоо хэвийн сонголтдоо буцаж чадна гэж хэр итгэж байна вэ?,Ээлжийн үеэр төлөвлөөгүй түргэн хоол идсэний дараа оройн хоолондоо өмнөх сонголтоо дагахыг төсөөлөв.,true,Дунд зэрэг итгэлтэй,true,Эргэн орж чадна,false,false,true,false,4,Төлөвлөөгүй зүйл идсэний дараа заримдаа дараагийн хоолондоо өмнөх сонголтдоо буцдаг тул дунд хариулт сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,10,B014,Уурлаж эсвэл бухимдсаны дараа юм идсэн.,Ажлын хүнд ээлжийн дараа бухимдаад гэртээ ирэн зууш идсэн.,true,Заримдаа,true,,false,false,true,false,4,Сүүлийн 14 хоногт уурлаж бухимдсаны дараа хэд хэдэн удаа юм идсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,1,B023,Танил газар байхдаа өөрөө анзааралгүй идэж эхэлсэн.,Гэрээсээ ажиллаж байхдаа ширээн дээрх зуушнаас анзааралгүй авч идэх.,true,Дунд зэрэг тохирно,true,бодолгүйгээр,false,false,false,false,4,Танил орчинд ажиллах үед зууш идэх нь заримдаа тохиолдоно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,2,B028,"Идэж байхдаа зогсох уу, үргэлжлүүлэх үү гэдгээ удирдахад хэцүү байсан.",Оройн хоолны дараа амттан идэхээ зогсоох эсэхээ шийдэхэд гацах.,true,Заримдаа,true,удирдахад,true,false,false,false,3,Идэж байх үедээ үргэлжлүүлэх эсэхээ шийдэхэд заримдаа хэцүү байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,3,B014,Уурлаж эсвэл бухимдсаны дараа юм идсэн.,Ажлын чатны маргааны дараа амттан авч идэх.,true,Заримдаа,true,,false,false,false,false,5,Бухимдсан үеийн дараа юм идэх нь заримдаа тохиолдсон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,4,B041,Өлсөж байгаагаа мэдсэн ч идэж эхлэх эсэхээ шийдэхэд хэцүү байсан.,Ажлын дундуур өлссөнөө мэдсэн ч шууд хооллох уу гэдгээ шийдэхгүй байх.,true,Ховор,true,,false,false,false,false,4,Өлссөнөө мэдсэн ч хооллож эхлэх шийдвэр ховорхон удааширсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,5,B020,Бэлтгэл их шаардсан болохоор төлөвлөсөн зүйлээ хойшлуулсан.,Хоол бэлдэхэд олон зүйл хэрэгтэй санагдаад төлөвлөсөн хоолоо дараа болгох.,true,Олон удаа,true,олон бэлтгэл,false,false,false,false,4,Бэлтгэл ихтэй санагдсан үед төлөвлөсөн хооллолтоо олон удаа хойшлуулсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,6,B036,Хоолны сурталчилгаа үзсэний дараа хоолны бодол үргэлжилсэн.,Сошиал дээр хоолны реклам үзээд дараа нь хоол бодогдох.,true,Олон удаа,true,,false,false,false,false,5,Хоолны сурталчилгаа үзсэний дараа хоолны тухай бодол олон удаа үргэлжилсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,7,B009,Асуултад хариулахдаа өмнөх хариулттайгаа ижил сонголт хийх хэрэгтэй мэт санагдсан.,Дараагийн асуултад өмнөх сонголтоо давтах ёстой юм шиг мэдрэгдэх.,true,Бага зэрэг санал нийлнэ,true,адил сонголт,false,false,false,false,4,Хариулах явцад өмнөх сонголтоо дагах ёстой мэт бага зэрэг санагдсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,8,B012,Төлөвлөөгүй зүйл идсэний дараа тэр өдрийн хоолны төлөвлөгөөгөө орхисон.,Төлөвлөөгүй амттан идсэний дараа өдрийн бусад хоолоо төлөвлөхөө болих.,true,Заримдаа,true,төлөвлөснөөс өөр,false,false,false,false,4,Төлөвлөөгүй зүйл идсэний дараа тухайн өдрийн хоолны төлөвлөгөө заримдаа орхигдсон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,9,B026,Завгүй үед тохирох хоол сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Ажил олонтой өдөр бэлэн сонголтуудаас өөрт тохирох хоол сонгох.,true,Дунд зэрэг итгэлтэй,true,тохирох,false,false,false,false,4,Завгүй үед тохирох хоол сонгоно гэдэгтээ дунд зэрэг итгэлтэй байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,10,B006,Ядарсан үедээ сонгосон хооллолтын нэг энгийн алхмыг хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Урт ажлын өдрийн дараа урьдчилж сонгосон хялбар хоолоо бэлдэх.,true,Их итгэлтэй,true,энгийн алхам,false,false,false,false,4,Ядарсан үедээ сонгосон нэг энгийн алхмыг хийхдээ их итгэлтэй байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,1,B023,Дассан газар байхдаа өөрийн мэдэлгүй идэж эхэлсэн.,Гэртээ хүүхдүүдийн үлдээсэн боовыг хараад нэгийг авч идсэн.,false,Бага зэрэг тохирно,true,танил орчин,false,false,false,false,4,Ерөнхий хугацаа тодорхойгүй ч асуултыг ойлгож сонголт хийсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,2,B016,Цадсанаа мэдсэн ч идэхээ болиход хэцүү байсан.,Оройн хоолонд цадсан ч тавган дээрхээ дуусгах гэж үргэлжлүүлэн идсэн.,true,Ховор,true,,false,false,false,false,4,14 хоногийн хугацаа болон хариултын сонголтууд тодорхой байсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,3,B035,Завгүй үедээ өмнө нь бодож тавьсан амархан хоолоо сонгосон.,Ажил ихтэй өдөр гэрт байсан чанасан өндөг талхаа идсэн.,true,Заримдаа,true,энгийн хоолны хувилбар,false,false,true,false,4,Жишээ бодож хариулсан ч ямар хоолыг энгийн гэж үзэх нь хүн бүрт өөр байж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,4,B029,Биеийнхээ харагдах байдалд санаа зовж олны дунд хийх зүйлээс татгалзсан.,Баярын үеэр зураг авахуулах дургүйгээс хамтын зурагт ороогүй.,true,Ховор,true,хүмүүсийн дунд хийх үйл ажиллагаа,false,false,false,false,4,30 хоногийг санаж хариулсан ч үйл ажиллагаа гэдэг нь өргөн утгатай байв.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,5,B022,Бусадтай хооллохдоо өөрөө хоолоо сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Айлд хооллохдоо идэх хэмжээгээ өөрөө сонгох.,true,Дунд зэрэг итгэлтэй,true,өөрийн сонголт,false,false,true,false,3,Төсөөлж хариулж болсон ч өөрийн сонголт гэдэгт хоолны төрөл эсвэл хэмжээний аль нь орох нь тодорхойгүй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,6,B003,Тавгүй санагдах үед хоол идэлгүй тэр мэдрэмжээ хэсэг тэвчсэн.,Уур хүрсэн үед юм идэхийн оронд гадаа хэсэг алхсан.,true,Ийм нөхцөл тохиолдоогүй,true,таагүй мэдрэмж,false,false,true,false,4,14 хоногт ийм тохиолдол байгаагүй гэсэн бэлэн сонголтыг ашигласан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,7,B011,Хоолны дэгээс жаахан гарахад бүх зүйл талаар болсон мэт санагдсан.,Төлөвлөснөөсөө нэг амттан илүү идээд цааш баримтлах хэрэггүй мэт бодсон.,true,Ийм нөхцөл тохиолдоогүй,true,хоолны дүрэм,false,false,false,false,4,Хоолны дүрэм баримталсан тохиолдолгүй тул тохирох сонголтыг ашигласан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,8,B010,Биеэсээ санаа зовсон ч хүссэн ажилдаа оролцсон.,Биеийнхээ төрхөөс зовсон ч нутгийн баярын бүжигт орсон.,true,Заримдаа,true,тавгүй байсан,false,false,true,false,4,30 хоногийн доторх жишээг санаж хариултын давтамжийг сонгосон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,9,B026,Завгүй үед тохирох хоол сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Хүүхдээ харж ажлаа амжуулах зуур хурдан бэлдэх хоол сонгох.,true,Бага зэрэг итгэлтэй,true,тохирох сонголт,false,false,true,false,3,Нөхцөлийг төсөөлж чадсан ч тохирох хоол гэж юуг хэлэх нь тодорхойгүй байв.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,10,B040,Давтагддаг үед идэхээсээ өмнө юу сонгохоо бодсон.,Орой бүр цай уухдаа боов авахын өмнө идэх эсэхээ бодсон.,false,Дунд зэрэг тохирно,true,давтагддаг нөхцөл,false,false,true,false,4,Ерөнхий хугацаа бүдэг боловч давтагддаг нэг жишээг бодож хариулсан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
