persona_code,block_order,blinded_item_id,revised_item_key,source_item_key,assignment_hash,synthetic_review_only,status_label
SP01,1,B013,HA03-V21,HA03,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,1,B034,HA02-V21-B,HA02,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,2,B035,IM03-V21-B,IM03,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,3,B040,HA06-V21,HA06,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,4,B015,AC02-V21-B,AC02,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,5,B004,UC06-V21,UC06,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,6,B005,EC06-V21,EC06,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,7,B010,BI06-V21,BI06,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,8,B031,HS01-V21,HS01,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,9,B037,SE05-V21,SE05,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP02,10,B014,EE05-V21,EE05,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,1,B023,HA04-V21,HA04,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,2,B028,UC04-V21,UC04,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,3,B014,EE05-V21,EE05,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,4,B041,HS06-V21-A,HS06,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,5,B020,IM02-V21,IM02,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,6,B036,EC04-V21,EC04,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,7,B009,AC02-V21-A,AC02,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,8,B012,RR04-V21-A,RR04,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,9,B026,SE02-V21,SE02,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP03,10,B006,SE06-V21-A,SE06,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,1,B023,HA04-V21,HA04,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,2,B016,HS06-V21-B,HS06,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,3,B035,IM03-V21-B,IM03,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,4,B029,BI04-V21,BI04,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,5,B022,SE03-V21,SE03,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,6,B003,EE06-V21-B,EE06,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,7,B011,RR01-V21,RR01,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,8,B010,BI06-V21,BI06,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,9,B026,SE02-V21,SE02,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP04,10,B040,HA06-V21,HA06,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,1,B018,UC02-V21,UC02,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,2,B019,IM03-V21-A,IM03,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,3,B032,SE06-V21-B,SE06,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,4,B003,EE06-V21-B,EE06,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,5,B011,RR01-V21,RR01,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,6,B042,HA02-V21-A,HA02,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,7,B021,SE01-V21,SE01,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,8,B038,HS04-V21,HS04,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,9,B008,RR06-V21,RR06,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,10,B027,EC02-V21,EC02,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP05,11,B025,HA05-V21,HA05,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,1,B040,HA06-V21,HA06,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,2,B014,EE05-V21,EE05,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,3,B041,HS06-V21-A,HS06,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,4,B015,AC02-V21-B,AC02,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,5,B020,IM02-V21,IM02,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,6,B002,EE02-V21,EE02,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,7,B023,HA04-V21,HA04,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,8,B039,SE04-V21,SE04,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,9,B006,SE06-V21-A,SE06,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP06,10,B024,RR04-V21-B,RR04,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,1,B035,IM03-V21-B,IM03,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,2,B039,SE04-V21,SE04,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,3,B032,SE06-V21-B,SE06,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,4,B008,RR06-V21,RR06,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,5,B041,HS06-V21-A,HS06,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,6,B018,UC02-V21,UC02,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP07,7,B013,HA03-V21,HA03,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
