source_item_key,revised_item_key,original_text,revised_text,original_response_scale,revised_response_scale,original_recall_period,revised_recall_period,change_type,issue_source,adjudication_support,construct_preserved,new_overlap_risk,decision_status,rationale,status_label
EE01,EE01-V21,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=15/24;synthesis=moderate,pilot_scored_candidate,Whether stress needs a specified threshold,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC05,EC05-V21,Хоолны тухай бодол хийж байсан зүйлээс минь анхаарал сарниулсан.,Хоолны тухай бодол хийж байсан зүйлээс минь анхаарал сарниулсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=23/24;synthesis=high,pilot_scored_candidate,Whether the intended facet is attention disruption or food preoccupation,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC06,EC06-V21,Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан.,Хоол харсан үед анхаарлаа өөр зүйлд буцааж чадсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=19/24;synthesis=moderate;external_cue_reactivity_vs_habit_automaticity,pilot_scored_candidate,Whether both cue types are needed for the facet,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC01,UC01-V21,Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан.,Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=11/24;synthesis=low,pilot_scored_candidate,Whether stopping difficulty requires an amount threshold,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC02,UC02-V21,Анх бодсоноосоо илүү хэмжээгээр идсэн.,Эхэндээ иднэ гэж бодсоноосоо илүү идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=20/24;synthesis=moderate,pilot_scored_candidate,Whether an intended amount should be specified,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC03,UC03-V21,Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн.,Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=23/24;synthesis=moderate;uncontrolled_eating_vs_hunger_satiety_awareness,pilot_scored_candidate,Whether satiety awareness and continuation should be separated,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC04,UC04-V21,Идэж байхдаа үйлдлээ өөрөө удирдаж чадахгүй мэт санагдсан.,Идэж байхдаа зогсоох эсвэл үргэлжлүүлэхээ удирдахад хэцүү байсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=19/24;synthesis=moderate,pilot_scored_candidate,Whether subjective control language is acceptable at this severity,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC05,UC05-V21,Багахан иднэ гэж эхэлсэн ч үргэлжлүүлээд идсэн.,Багахан иднэ гэж эхэлсэн ч үргэлжлүүлээд идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=16/24;synthesis=moderate,pilot_scored_candidate,Whether a small intended amount needs definition,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC06,UC06-V21,Идэж байхдаа түр зогсоод үргэлжлүүлэх эсэхээ бодож чадсан.,Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогсож чадсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=20/24;synthesis=moderate;uncontrolled_eating_vs_hunger_satiety_awareness,pilot_scored_candidate,Whether pause capacity should be separated from deliberation,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR01,RR01-V21,Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан.,Хоолны дүрмээс багахан зөрөхөд бүх зүйл бүтэлгүйтсэн мэт санагдсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=17/24;synthesis=moderate,second_pass_hold,Whether respondents without food rules require a non-applicable path,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR02,RR02-V21,Зарим хоолыг өөртөө бүрэн хориглох дүрэм тогтоосон.,Зарим хоолыг өөртөө бүрэн хориглох дүрэм тогтоосон.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=11/24;synthesis=low,pilot_scored_candidate,Whether prohibition is distinguished from ordinary preference,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR03,RR03-V21,Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүй гэж үзсэн.,Төлөвлөгөөгөө яг дагаагүй өдрөө бүтэлгүйтсэн гэж үзсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=11/24;synthesis=low,second_pass_hold,Whether evaluative rigidity is intended rather than plan adherence,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR04,RR04-V21-A,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон.,Төлөвлөснөөс өөр идсэний дараа тэр өдрийн хоолны төлөвлөгөөгөө орхисон.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,true,expert_moderate_or_high=22/24;synthesis=high;restrictive_rebound_vs_implementation_friction,pilot_scored_candidate,Whether the item should measure rebound sequence or loss of control,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR04,RR04-V21-B,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрөө хяналтгүй орхисон.,Нэг удаа төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөгөөгөө үргэлжлүүлээгүй.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,true,expert_moderate_or_high=22/24;synthesis=high;restrictive_rebound_vs_implementation_friction,reserve_alternative_human_selection,Whether the item should measure rebound sequence or loss of control,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR05,RR05-V21,Төлөвлөгөөнөөс хазайсныхаа дараа маргааш нь дүрмээ улам чангалсан.,Төлөвлөгөөнөөс хазайсныхаа дараа маргааш нь дүрмээ улам чангалсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=13/24;synthesis=moderate,pilot_scored_candidate,Whether next-day tightening is the desired rebound behavior,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR06,RR06-V21,Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон.,Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо хэвийн хооллолтдоо орсон.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=17/24;synthesis=moderate;restrictive_rebound_vs_implementation_friction,pilot_scored_candidate,Whether this positive item needs a non-applicable response,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS01,HS01-V21,Өлсөлт хэт хүчтэй болохоос өмнө биеийн дохиогоо анзаарсан.,Өлсөлт хэт хүчтэй болохоос өмнө өлсөж байгаагаа анзаарсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=8/24;synthesis=low,pilot_scored_candidate,Whether general bodily signals are intended beyond hunger,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS02,HS02-V21,Идэх хүсэл төрөхөд өлссөн эсэхээ ялгаж чадсан.,Идэх хүсэл төрөхөд өлссөн эсэхээ ялгаж чадсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=20/24;synthesis=moderate,pilot_scored_candidate,Whether desire-hunger discrimination is the intended capability,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS03,HS03-V21,Өлссөнөө бие их сульдсаны дараа л анзаарсан.,Өлссөнөө маш их сульдсаны дараа л анзаарсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=16/24;synthesis=moderate,pilot_scored_candidate,Whether fatigue is an intended hunger cue,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS04,HS04-V21,Тав тухтай цадсан мөчөө идэж байхдаа анзаарсан.,Идэж байхдаа таатайгаар цадсан мөчөө анзаарсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=4/24;synthesis=low,pilot_scored_candidate,Whether comfortable fullness can be standardized in wording,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS05,HS05-V21,Цадсан эсэхээ мэдэхэд эргэлзсэн.,Цадсан эсэхээ мэдэхэд эргэлзсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=5/24;synthesis=low,pilot_scored_candidate,Whether uncertainty about fullness needs contextual detail,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06,HS06-V21-A,Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй.,Өлсөж эхэлснээ анзаарсан ч идэж эхлэх эсэхээ шийдэхэд хэцүү байсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,false,expert_moderate_or_high=24/24;synthesis=high;uncontrolled_eating_vs_hunger_satiety_awareness,second_pass_revise,Whether starting and stopping should be separate items,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06,HS06-V21-B,Биеийн дохио тодорхой байсан ч хэзээ эхлэх эсвэл зогсохоо шийдэхэд ашиглаж чадаагүй.,Цадсанаа анзаарсан ч идэхээ зогсоох эсэхээ шийдэхэд хэцүү байсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,false,expert_moderate_or_high=24/24;synthesis=high;uncontrolled_eating_vs_hunger_satiety_awareness,second_pass_revise,Whether starting and stopping should be separate items,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE01,SE01-V21,Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Стресстэй өдөр хоолны төлөвлөгөөгөө дагаж чадна гэдэгтээ хэр итгэлтэй вэ?,0–4 confidence,confidence_0_4_na,Сүүлийн 14 хоног,Нөхцөлийг төсөөлөн хариулна,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=17/24;synthesis=moderate,pilot_scored_candidate,Whether self-efficacy should use current confidence rather than 14-day recall,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE02,SE02-V21,Зав багатай үед өөрт тохирох боломжит хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Зав багатай үед хоолны тохирох сонголт хийж чадна гэдэгтээ хэр итгэлтэй вэ?,0–4 confidence,confidence_0_4_na,Сүүлийн 14 хоног,Нөхцөлийг төсөөлөн хариулна,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=15/24;synthesis=moderate,pilot_scored_candidate,Whether current confidence can replace recalled confidence,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
