source_item_key,revised_item_key,original_misinterpretation_count,revised_misinterpretation_count,original_scale_mismatch_count,revised_scale_mismatch_count,original_recall_problem_count,revised_recall_problem_count,original_judgment_flag_count,revised_judgment_flag_count,original_overlap_flags,revised_overlap_flags,construct_preserved,synthetic_improvement,remaining_issue,pilot_candidate,synthetic_review_only,status_label
RR01,RR01-V21,1,0,2,0,0,0,2,2,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=4/16,true,mixed_synthetic_change,The total-failure wording remains a recurring major judgment concern.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR03,RR03-V21,1,0,1,0,0,0,6,4,expert_moderate_or_high=11/24;synthesis=low,expert_moderate_or_high=4/16,true,synthetic_rate_improved,The failure label remains a recurring major shame and judgment concern.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR04,RR04-V21-A,3,0,2,0,1,0,5,0,expert_moderate_or_high=22/24;synthesis=high,expert_moderate_or_high=7/16,true,synthetic_rate_improved,All 16 expert runs retained moderate shame risk and the plan may not apply to every respondent.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR04,RR04-V21-B,3,0,2,0,1,0,5,0,expert_moderate_or_high=22/24;synthesis=high,expert_moderate_or_high=9/16,true,synthetic_rate_improved,All 16 expert runs retained moderate shame risk and the plan may not apply to every respondent.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR06,RR06-V21,2,0,3,1,0,1,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=9/16,true,mixed_synthetic_change,One persona reported both a scale and recall problem and normal eating remains undefined.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS01,HS01-V21,1,0,1,0,0,0,0,0,expert_moderate_or_high=8/24;synthesis=low,expert_moderate_or_high=1/16,true,synthetic_rate_improved,The threshold for very strong hunger remains respondent-dependent.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS03,HS03-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=16/24;synthesis=moderate,expert_moderate_or_high=8/16,true,no_clear_synthetic_change,One expert purity rating was below 3 and marked weakness may have causes other than hunger.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS04,HS04-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=4/24;synthesis=low,expert_moderate_or_high=1/16,true,no_clear_synthetic_change,Comfortable fullness remains subjective and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06,HS06-V21-A,3,0,3,0,0,0,1,0,expert_moderate_or_high=24/24;synthesis=high,expert_moderate_or_high=16/16,false,synthetic_rate_improved,Noticing hunger remains combined with difficulty deciding whether to begin eating.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06,HS06-V21-B,3,0,3,0,0,0,1,0,expert_moderate_or_high=24/24;synthesis=high,expert_moderate_or_high=16/16,false,synthetic_rate_improved,Noticing fullness remains combined with difficulty deciding whether to stop eating.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE01,SE01-V21,2,0,3,1,0,0,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=4/16,true,synthetic_rate_improved,One persona reported a scale mismatch and all four saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE02,SE02-V21,1,0,1,0,0,0,0,0,expert_moderate_or_high=15/24;synthesis=moderate,expert_moderate_or_high=6/16,true,synthetic_rate_improved,The meaning of an appropriate choice remains broad and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE03,SE03-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=5/16,true,no_clear_synthetic_change,All four personas saw an obvious desirable answer and own choice remains broad.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE04,SE04-V21,1,1,0,0,0,0,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=5/16,true,synthetic_rate_not_improved,One isolated paraphrase shifted toward restraint and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE05,SE05-V21,2,0,4,1,1,0,0,0,expert_moderate_or_high=18/24;synthesis=moderate,expert_moderate_or_high=4/16,true,synthetic_rate_improved,The plan and return point remain broad and all four personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE06,SE06-V21-A,2,0,2,0,0,0,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=4/16,true,synthetic_rate_improved,The simple step is not standardized and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE06,SE06-V21-B,2,0,2,1,0,1,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=9/16,true,mixed_synthetic_change,One expert purity rating was below 3 and partial implementation lacks a common threshold.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA01,HA01-V21,1,0,0,1,0,1,0,0,expert_moderate_or_high=15/24;synthesis=moderate,expert_moderate_or_high=4/16,true,mixed_synthetic_change,The location cue remains unspecified and expert revise suggestions outnumbered pass suggestions.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA02,HA02-V21-A,3,0,2,0,0,1,0,0,expert_moderate_or_high=18/24;synthesis=moderate,expert_moderate_or_high=4/16,true,mixed_synthetic_change,The preceding action remains unnamed and one persona reported a recall problem.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA02,HA02-V21-B,3,0,2,0,0,0,0,0,expert_moderate_or_high=18/24;synthesis=moderate,expert_moderate_or_high=3/16,true,synthetic_rate_improved,The preceding action and the phrase automatic start remain unspecified.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA03,HA03-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=9/24;synthesis=moderate,expert_moderate_or_high=3/16,true,no_clear_synthetic_change,The delay remains unquantified.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA04,HA04-V21,1,0,0,0,0,1,0,0,expert_moderate_or_high=14/24;synthesis=moderate,expert_moderate_or_high=4/16,true,mixed_synthetic_change,The familiar setting remains unspecified and one persona reported a recall problem.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA05,HA05-V21,1,2,1,0,0,0,0,0,expert_moderate_or_high=19/24;synthesis=moderate,expert_moderate_or_high=5/16,false,mixed_synthetic_change,The low-deliberation wording still permits systematic hunger-awareness interpretation.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA06,HA06-V21,1,0,1,0,0,1,0,0,expert_moderate_or_high=14/24;synthesis=moderate,expert_moderate_or_high=5/16,true,mixed_synthetic_change,The repeated context remains unspecified and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
BI04,BI04-V21,1,0,0,0,0,0,5,0,expert_moderate_or_high=8/24;synthesis=moderate,expert_moderate_or_high=4/16,true,synthetic_rate_improved,A recurring major body-related shame concern remains.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
BI06,BI06-V21,2,0,2,0,0,0,0,0,expert_moderate_or_high=12/24;synthesis=moderate,expert_moderate_or_high=8/16,true,synthetic_rate_improved,One expert run rated shame high and safety below 3 and all four personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
IM02,IM02-V21,1,0,2,0,0,0,0,0,expert_moderate_or_high=8/24;synthesis=low,expert_moderate_or_high=7/16,true,synthetic_rate_improved,The planned action remains unspecified and overlap materially increased.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
IM03,IM03-V21-A,3,0,3,0,0,0,0,0,expert_moderate_or_high=18/24;synthesis=moderate,expert_moderate_or_high=7/16,true,synthetic_rate_improved,All four personas saw an obvious desirable answer and simple version remains undefined.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
IM03,IM03-V21-B,3,0,3,1,0,0,0,0,expert_moderate_or_high=18/24;synthesis=moderate,expert_moderate_or_high=3/16,true,synthetic_rate_improved,One persona reported a scale mismatch and simple food option remains undefined.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
IM05,IM05-V21,1,0,2,0,1,0,0,0,expert_moderate_or_high=12/24;synthesis=moderate,expert_moderate_or_high=4/16,true,synthetic_rate_improved,The plan and next occasion remain unspecified and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
AC02,AC02-V21-A,2,0,1,0,0,0,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=8/16,true,synthetic_rate_improved,One expert purity rating was below 3 and matching a prior response may reflect more than semantic consistency.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
AC02,AC02-V21-B,2,0,1,0,0,0,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=7/16,true,synthetic_rate_improved,The item measures perceived similarity rather than demonstrated semantic consistency.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
