review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B028,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Names difficulty controlling whether to stop or continue while eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,12,B017,4,4,4,4,4,4,4,moderate,high,moderate,pass,"States viewing a day as failure when the plan was not followed exactly.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,13,B023,4,4,4,4,4,4,4,moderate,low,low,pass,"Identifies starting to eat without deliberation in a familiar setting.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,14,B009,4,4,3,4,4,4,4,moderate,low,moderate,revise,"References prior answers and a perceived need for the same response choice.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,15,B042,4,4,4,4,4,4,4,moderate,low,low,pass,"Describes eating automatically after a daily repeated action.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,1,B038,4,4,4,4,4,4,4,low,low,low,pass,"Asks whether a comfortable fullness point was noticed while eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,2,B031,4,4,4,4,4,4,4,low,low,low,pass,"Asks whether hunger was noticed before it became very strong.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,3,B004,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Describes pausing while eating to consider continuing.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,4,B020,4,4,4,4,4,4,4,low,low,moderate,pass,"Connects postponing a plan to needing extensive preparation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,5,B003,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Describes tolerating an unpleasant feeling rather than eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,6,B001,4,4,4,4,4,4,4,moderate,low,low,pass,"Specifies noticing hunger only after becoming very weak.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,7,B010,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Describes participating in a desired activity despite body-related discomfort.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,8,B019,4,4,4,4,4,4,4,low,low,moderate,pass,"States preparing a simpler plan version for busy days in advance.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,9,B034,4,4,4,4,4,4,4,moderate,low,low,pass,"Describes eating beginning automatically after a regular action ends.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,10,B037,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Asks confidence in returning at the next meal after eating differently than planned.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,11,B006,4,4,4,4,4,4,4,low,low,moderate,pass,"Asks confidence in completing one selected simple eating-plan step when tired.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,12,B027,4,4,4,4,4,4,4,moderate,low,low,pass,"Identifies deciding to eat because of a food smell.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,13,B040,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Describes making a considered choice before eating in a repeated situation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,14,B041,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Combines noticing early hunger with difficulty deciding whether to begin eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,1,B013,4,4,4,4,4,4,4,moderate,low,low,pass,"Describes noticing that eating had begun only after some time.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,2,B008,4,4,4,4,4,4,4,moderate,low,moderate,pass,"States returning to usual eating at the next meal after eating differently.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,3,B016,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Combines noticing fullness with difficulty deciding whether to stop eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,4,B021,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Asks confidence in following an eating plan on a stressful day.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,5,B005,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Describes redirecting attention after seeing food.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,6,B026,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Asks confidence in making a suitable food choice under time pressure.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,7,B018,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"States eating more than the amount initially intended.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,8,B029,4,4,4,4,4,4,4,moderate,high,moderate,pass,"Describes avoiding group activities because of concern about body appearance.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,9,B035,4,4,4,4,4,4,4,low,low,moderate,pass,"States using a preselected simple meal option when busy.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,10,B036,4,4,4,4,4,4,4,moderate,low,low,pass,"Links seeing food advertising with continuing thoughts about food.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,11,B011,4,4,4,4,4,4,4,moderate,high,moderate,pass,"States feeling that everything failed after a small deviation from food rules.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,12,B024,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Describes not continuing the plan at the next meal after one deviation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,13,B015,4,4,4,4,4,4,4,high,low,low,pass,"Asks whether the questionnaire items felt overly similar to one another.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
