review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B003,4,4,4,4,4,4,4,low,low,moderate,pass,One coping response is stated for a defined emotional trigger and the opportunity option fits.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,4,B027,4,4,3,4,4,4,4,moderate,none,low,pass,The smell-to-decision link is direct though hunger and food preference may also drive the decision.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,5,B023,4,4,4,4,3,4,4,low,none,low,pass,Familiar context and unplanned initiation are stated in one concise automaticity item.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,6,B030,4,4,4,4,4,4,4,low,none,moderate,pass,Resuming at the next opportunity after one lapse is a clearly bounded maintenance behavior.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,7,B009,3,3,2,3,4,4,4,high,none,moderate,revise,Perceived pressure to repeat prior responses may reflect consistency strategy or response conformity.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,8,B041,4,4,3,4,4,4,4,moderate,none,low,pass,The item separates noticing hunger from difficulty deciding to act but also taps decisional confidence.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,9,B032,4,4,3,4,4,4,4,moderate,none,moderate,pass,Confidence under fatigue is clear though partial plan implementation is not behaviorally standardized.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,10,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,Avoiding social activities because of appearance concern directly represents social participation avoidance.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,11,B035,4,4,4,4,4,4,4,low,none,moderate,pass,Use of a preselected simple meal during busyness is a specific minimum-version behavior.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,12,B005,4,4,3,4,4,4,4,moderate,none,moderate,pass,Redirecting attention after seeing food is clear but also measures attentional control.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,13,B014,4,4,4,4,4,4,3,low,moderate,moderate,pass,Eating after anger or frustration is concrete though the two affect labels broaden the trigger.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,14,B022,4,4,3,4,4,4,4,moderate,none,moderate,pass,Confidence in choosing while eating socially is clear though own choice is respondent-defined.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,15,B038,4,4,4,4,4,4,4,low,none,moderate,pass,Noticing comfortable fullness during eating is a single interoceptive observation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,1,B015,4,4,3,4,4,4,4,moderate,none,low,pass,Perceived item similarity is plainly stated but depends on the surrounding item set rather than one response process.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,2,B016,4,4,3,4,4,4,4,moderate,none,low,pass,The item distinguishes fullness detection from difficulty deciding to stop but includes decisional control.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,3,B028,4,4,4,4,4,4,3,low,moderate,low,pass,Difficulty controlling whether to stop or continue is a direct subjective-control indicator.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,4,B013,4,4,4,4,3,4,4,low,none,low,pass,Delayed awareness of having started eating directly indicates an awareness lag.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,5,B001,4,4,3,4,4,4,4,moderate,none,low,pass,Noticing hunger only after marked weakness is concrete but weakness may have causes beyond hunger.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,6,B012,4,4,4,4,4,4,3,low,moderate,moderate,pass,Abandoning the remaining daily plan after a deviation is a clear rebound behavior.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,7,B026,4,4,3,4,4,4,4,moderate,none,moderate,pass,Confidence under time pressure is clear though an appropriate food choice is respondent-defined.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,8,B002,4,4,3,4,4,4,3,moderate,moderate,moderate,pass,Temporary relief after eating when sad is clear but combines eating behavior with perceived emotional effect.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,9,B008,4,4,4,4,4,4,4,low,low,moderate,pass,Returning to usual eating at the next meal after a deviation clearly captures flexible recovery.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,10,B031,4,4,4,4,4,4,4,low,none,moderate,pass,Awareness before hunger becomes intense is a focused early-signal indicator.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,11,B020,4,4,4,4,4,4,4,low,none,low,pass,Delay attributed to extensive preparation directly captures setup burden.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,12,B011,4,4,4,4,4,4,3,low,moderate,moderate,pass,A small rule deviation followed by total-failure appraisal directly expresses rigid evaluation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,13,B018,4,4,4,4,4,4,3,low,moderate,low,pass,Eating more than initially intended is concise and directly measurable by self-report.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,14,B007,4,4,3,4,4,4,4,moderate,low,moderate,pass,Using another soothing method during discomfort is clear but the alternative method is unspecified.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
