review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B034,4,4,4,4,4,4,4,low,low,low,pass,Өгүүлбэр нь тогтмол үйлдлийн дараах автоматаар эхлэх идэлтийг шууд дүрсэлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,12,B032,4,4,3,4,4,4,4,moderate,low,moderate,pass,Ядарсан үед төлөвлөгөөний хэсгийг хэрэгжүүлэх итгэлийг асуусан бөгөөд бүрэн биш гэдэг нь ачааллыг заана.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,13,B020,4,4,4,4,4,4,4,moderate,low,moderate,pass,Олон бэлтгэл ба хойшлуулах үйлдлийн уялдаа тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,1,B040,4,4,4,4,4,4,4,moderate,low,moderate,pass,Давтагддаг нөхцөлд идэхийн өмнөх зориудын сонголтыг шууд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,2,B003,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Таагүй мэдрэмжийг идэхийн оронд тэсвэрлэх үйлдлийг нэг нөхцөлд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,3,B001,4,4,4,4,4,4,4,low,low,low,pass,Өлсгөлөнг маш их сульдсаны дараа анзаарах хугацааны дараалал тодорхой.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,4,B024,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Нэг зөрчлийн дараах дараагийн хоолонд төлөвлөгөөг үргэлжлүүлэхгүй байхыг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,5,B027,4,4,4,4,4,4,4,moderate,low,low,pass,Хоолны үнэр ба идэх шийдвэрийн холбоог товч асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,6,B030,4,4,4,4,4,4,4,moderate,low,moderate,pass,Алгассаны дараах дараагийн удаа эргэн үргэлжлүүлэх зан үйлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,7,B023,4,4,4,4,4,4,4,moderate,low,moderate,pass,Танил орчинд бодолгүй идэж эхлэхийг нэг нөхцөл ба үйлдлээр илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,8,B018,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Эхэндээ бодсон хэмжээнээс илүү идсэнийг шууд харьцуулан асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,9,B022,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Бусадтай хамт хооллох нөхцөлд өөрийн сонголт хийх итгэлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,10,B035,4,4,4,4,4,4,4,low,low,moderate,pass,Завгүй үед урьдчилан сонгосон энгийн хувилбарыг ашиглах үйлдэл тодорхой.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,11,B006,4,4,4,4,4,4,4,moderate,low,moderate,pass,Ядарсан үеийн нэг энгийн алхмыг хийх итгэлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,12,B009,4,4,4,4,4,4,4,moderate,low,moderate,pass,Өмнөх хариулттай адил сонголт хийх ёстой мэт мэдрэмжийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,13,B033,4,4,4,4,4,4,4,moderate,low,moderate,pass,Тодорхой газар болоход гараа сунгах автоматаар эхлэх үйлдэл тодорхой.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,14,B036,4,4,4,4,4,4,4,moderate,low,low,pass,Сурталчилгаа харсны дараах хоолны тухай үргэлжлэх бодлыг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,1,B019,4,4,4,4,4,4,4,low,low,moderate,pass,Завгүй өдөрт энгийн хувилбар урьдчилан бэлдэх үйлдлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,2,B028,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Идэж байх үеийн зогсоох эсвэл үргэлжлүүлэх удирдлагын хүндрэл тодорхой.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,3,B029,4,4,4,4,4,4,3,moderate,high,moderate,hold,Биеийн төрхөд санаа зовох ба нийгмийн үйл ажиллагаанаас зайлсхийхийг шууд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,4,B013,4,4,4,4,4,4,4,moderate,low,moderate,pass,Идэж эхэлснээ хожуу анзаарахыг нэг тодорхой цагийн тэмдэглэгээгээр асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,5,B017,4,4,4,4,4,4,4,moderate,high,moderate,pass,Төлөвлөгөөг яг дагаагүй өдрийг бүтэлгүйтэл гэж үнэлэхийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,6,B012,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Төлөвлөснөөс өөр идсэний дараа тухайн өдрийн төлөвлөгөөг орхих үйлдлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,7,B011,4,4,4,4,4,4,4,moderate,high,moderate,pass,Багахан зөрчлийг бүх зүйл бүтэлгүйтсэн мэт мэдрэхийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,8,B005,4,4,4,4,4,4,4,moderate,low,moderate,pass,Хоол харсан үед анхаарлаа өөр зүйлд буцаах үйлдлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,9,B038,4,4,4,4,4,4,4,low,low,moderate,pass,Таатайгаар цадсан мөчийг идэж байхдаа анзаарахыг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,10,B016,4,4,4,4,4,4,4,moderate,low,low,pass,Цадсанаа анзаарсны дараах зогсоох шийдвэрийн хүндрэл тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,11,B010,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Биеийн талаар тавгүй байсан ч хүссэн үйл ажиллагаанд оролцохыг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,12,B042,4,4,4,4,4,4,4,moderate,low,moderate,pass,Өдөр бүрийн үйлдлийн дараах бодолгүй идэлтийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,13,B015,4,4,4,4,4,4,4,moderate,low,low,pass,Асуултууд хоорондоо төстэй санагдах мэдрэмжийг шууд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,14,B037,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Төлөвлөснөөс өөр идсэний дараах дараагийн хоолонд эргэн орох итгэлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,15,B031,4,4,4,4,4,4,4,low,low,moderate,pass,Өлсөлт хүчтэй болохоос өмнө анзаарахыг тодорхой цагийн дарааллаар асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
