review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B006,4,4,4,4,4,4,4,low,none,low,pass,Names one feasible eating step under fatigue and matches a confidence scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,12,B013,4,4,4,4,4,4,4,low,none,low,pass,Describes delayed awareness after eating begins as a single automaticity-related experience.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,13,B022,4,4,4,4,4,4,4,low,low,moderate,pass,Asks confidence in making one's own choice during shared meals using neutral wording.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,14,B003,3,3,3,4,4,3,3,moderate,moderate,moderate,revise,Frames not eating as tolerating unpleasant feelings which may blend emotion regulation with restraint and imply a preferred response.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,15,B026,4,4,4,4,4,4,4,low,none,low,pass,Directly asks confidence in choosing suitable food under time pressure.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,1,B015,4,4,4,4,4,4,4,low,none,low,pass,Directly asks whether the current questions felt overly similar and fits the agreement scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,2,B030,4,4,4,4,4,4,4,low,none,low,pass,Describes resuming the plan at the next opportunity after one missed instance.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,3,B012,4,4,4,4,4,4,3,low,moderate,low,pass,Captures abandoning the remainder of a day's plan after eating differently than intended.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,4,B008,4,4,4,4,4,4,4,low,low,low,pass,Describes a flexible return to usual planned eating at the next meal after a deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,5,B032,4,4,4,4,4,4,4,low,none,low,pass,Asks confidence in partial plan implementation under fatigue rather than requiring perfection.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,6,B028,4,4,4,4,4,4,4,low,low,low,pass,Focuses on subjective difficulty controlling whether eating stops or continues.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,7,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,Links body-image concern to avoiding social activities over a defined 30-day period.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,8,B020,4,4,4,4,4,4,4,low,none,low,pass,Names preparation burden as the reason a planned action was postponed.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,9,B021,4,4,4,4,4,4,4,low,low,moderate,pass,Directly asks confidence in following an eating plan on a stressful day.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,10,B002,4,4,4,4,4,4,4,low,low,low,pass,Connects eating while sad with a brief perceived soothing effect without claiming causality.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,11,B040,4,4,4,4,4,4,4,low,none,low,pass,Assesses deliberate choice before eating in a recurring context as the opposite of automatic responding.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,12,B005,4,4,4,4,4,4,4,low,none,moderate,pass,Describes redirecting attention after seeing food and supplies a no-opportunity response.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,13,B034,4,4,4,4,4,4,4,low,none,low,pass,Describes eating beginning automatically immediately after a regular activity ends.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,1,B035,4,4,4,4,4,4,4,low,none,low,pass,Reports using a preselected simple meal option when becoming busy within 14 days.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,2,B010,4,4,4,4,4,4,3,low,moderate,moderate,pass,Measures participation in a desired activity despite body-related discomfort using non-derogatory wording.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,3,B024,4,4,4,4,4,4,3,low,moderate,low,pass,Captures failure to resume the plan at the next meal after one unplanned eating event.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,4,B017,4,4,4,4,4,4,3,low,moderate,low,pass,Directly captures all-or-nothing evaluation of a day when a plan was not followed exactly.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,5,B033,4,4,4,4,4,4,4,low,none,low,pass,Links reaching for food without thought to being in a particular place.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,6,B025,4,4,4,4,4,4,4,low,none,low,pass,Uses snack selection without checking desire as an observable example of low deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,7,B001,3,4,3,4,4,3,4,moderate,none,low,revise,Uses marked weakness as the threshold for noticing hunger which may also reflect non-hunger causes.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,8,B011,4,4,4,4,4,4,3,low,moderate,low,pass,Clearly states a global sense of failure following a small departure from food rules.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,9,B036,4,4,4,4,4,4,4,low,none,low,pass,Identifies persistent food thoughts after exposure to food advertising within the recall period.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,10,B038,4,4,4,4,4,4,4,low,none,low,pass,Focuses on noticing the moment of comfortable fullness while eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,11,B007,3,4,3,4,4,4,4,moderate,low,moderate,revise,Asks about non-eating self-soothing after unpleasant feelings and may reflect broader coping skill availability.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,12,B014,4,4,4,4,4,4,4,low,low,low,pass,Directly records eating after anger or frustration within 14 days.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,13,B016,3,4,3,4,4,4,4,moderate,none,low,revise,Combines noticing fullness with difficulty deciding to stop so signal awareness and eating control may overlap.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_3,14,B027,4,4,4,4,4,4,4,low,none,low,pass,Names food smell as the cue that led to a decision to eat.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
