review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,1,B006,4,3,3,4,4,4,4,low,low,low,revise,"The phrase 'one simple eating step' does not name what counts as a step.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,12,B020,4,3,4,4,4,4,4,low,low,low,revise,"'Many preparations' does not identify which preparations are included.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,13,B042,4,4,4,4,4,4,4,low,low,low,pass,"The repeated action and the eating behavior are linked in one sequence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,14,B013,4,4,4,4,4,4,4,low,low,low,pass,"The item describes noticing that eating had already started.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,15,B024,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The event and the next-meal outcome are both explicit.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,1,B026,4,3,4,4,4,4,4,low,low,low,revise,"'Suitable choice' has no stated criterion for what makes a choice suitable.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,2,B002,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The item identifies sadness, eating, and the respondent's sense of short-term relief.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,3,B033,4,2,4,4,4,3,4,low,low,low,revise,"The phrase 'when a specific place occurred' is grammatically unclear as a location cue.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,4,B040,4,3,4,4,4,4,4,low,low,low,pass,"The recurring-context phrase is broad, but the deliberate choice before eating is observable.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,5,B039,4,4,4,4,4,4,4,low,low,low,pass,"The nearby-food cue and the decision about eating are both stated.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,6,B023,4,4,4,4,4,4,4,low,low,low,pass,"The item gives a familiar setting and an automatic start to eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,7,B035,4,4,4,4,4,4,4,low,low,low,pass,"The item specifies a busy context and use of a preselected simple option.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,8,B022,4,3,4,4,4,4,3,low,moderate,moderate,revise,"'My own choice' can mean preference, diet plan, or independence from others.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,9,B032,4,3,3,4,4,4,4,low,low,low,revise,"'Not fully but partly' implementing a plan does not identify the minimum action.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,10,B017,4,4,4,4,4,4,3,low,high,high,revise,"The phrase 'failed' is evaluative and can make endorsement feel self-critical.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,11,B028,4,3,3,4,4,4,3,moderate,moderate,moderate,revise,"Stopping and continuing are alternatives, so the reported difficulty may refer to either one.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,12,B016,4,3,2,4,4,4,4,high,low,low,revise,"Noticing fullness and difficulty deciding to stop combine signal awareness with behavioral control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,13,B007,4,3,3,4,4,4,3,moderate,moderate,moderate,revise,"'Another way' does not specify the alternative self-soothing action.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,1,B041,4,3,2,4,4,4,4,high,low,low,revise,"Noticing hunger and deciding whether to start eating combine awareness with decision control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,2,B030,4,4,4,4,4,4,4,low,low,low,pass,"The skipped occasion and the next occasion are explicitly separated.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,3,B015,4,4,4,4,4,4,4,low,low,low,pass,"The item asks about a single perceived feature of the current questionnaire.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,4,B025,4,4,4,4,4,4,4,low,low,low,pass,"The item identifies a snack choice made without considering desire to eat.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,5,B034,4,3,4,4,4,4,4,low,low,low,pass,"The sequence is clear, although 'starts by itself' is figurative wording.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,6,B011,4,4,4,4,4,4,3,low,high,high,revise,"'Everything failed' is evaluative and may make respondents reluctant to endorse it.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,7,B038,4,4,4,4,4,4,4,low,low,low,pass,"The item asks about noticing a recognizable point of comfortable fullness.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,8,B004,4,3,4,4,4,4,3,low,moderate,moderate,pass,"The pause is observable; the reason for pausing is also stated.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,9,B005,4,4,4,4,4,4,4,low,low,low,pass,"The food cue and redirecting attention are both concrete actions.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,10,B012,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The deviation and abandoning the rest-of-day plan are specified.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,11,B031,4,4,4,4,4,4,4,low,low,low,pass,"The comparison point is explicitly before hunger becomes very strong.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,12,B018,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The item compares intended and actual amount eaten in one event.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,13,B027,4,4,4,4,4,4,4,low,low,low,pass,"The smell cue and eating decision form a direct sequence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_3,14,B019,4,4,4,4,4,4,4,low,low,low,pass,"The item describes preparing a simple version for a named busy-day context.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
