review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B029,4,4,4,4,4,4,4,low,moderate,moderate,pass,Links body concern to avoiding social activities.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,15,B028,4,4,4,4,4,4,4,low,moderate,moderate,pass,Describes difficulty controlling the decision to stop or continue.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,1,B001,4,3,4,4,4,4,4,low,low,low,pass,Describes noticing hunger only after marked fatigue.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,2,B013,4,4,4,4,4,4,4,low,low,moderate,pass,Describes delayed awareness of having started eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,3,B012,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Specifies abandoning the daily plan after an unplanned eating event.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,4,B006,4,4,4,4,4,4,4,low,low,moderate,pass,Uses a concrete fatigue context and confidence response.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,5,B041,4,3,2,4,4,4,4,moderate,low,moderate,revise,Combines noticing hunger with difficulty making an eating decision.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,6,B023,4,4,4,4,4,4,4,low,low,moderate,pass,Specifies a familiar setting as the trigger for automatic eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,7,B008,4,4,4,4,4,4,4,moderate,low,moderate,pass,Describes returning to usual eating at the next meal.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,8,B030,4,4,4,4,4,4,4,moderate,low,moderate,pass,Describes resuming a plan after one missed instance.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,9,B014,4,4,3,4,4,4,4,low,low,moderate,pass,Uses anger or frustration as the eating context.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,10,B031,4,4,4,4,4,4,4,low,none,low,pass,Describes noticing hunger before it becomes very strong.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,11,B037,4,4,4,4,4,4,4,low,low,moderate,pass,Uses recovery after unplanned eating as a confidence scenario.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,12,B026,4,3,4,4,4,4,4,low,low,moderate,pass,Uses time pressure but leaves appropriate choice broadly defined.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,13,B039,4,4,4,4,4,4,4,low,low,moderate,pass,Uses nearby food as a concrete choice context.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,1,B019,4,4,4,4,4,4,4,low,low,moderate,pass,Describes preparing a simpler plan version for busy days.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,2,B020,4,3,3,4,4,4,4,moderate,low,moderate,pass,Links preparation demands to postponing a planned action.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,3,B034,4,3,4,4,4,4,4,low,low,moderate,pass,Describes eating that starts after a regular activity ends.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,4,B033,4,2,4,4,4,3,4,low,low,moderate,revise,Uses an unclear location phrase for the automatic action.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,5,B016,4,3,2,4,4,4,4,moderate,low,moderate,revise,Combines noticing fullness with deciding whether to stop.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,6,B036,4,3,4,4,4,4,4,low,none,moderate,pass,Describes sustained food thoughts after seeing an advertisement.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,7,B017,4,4,4,4,4,4,4,low,moderate,moderate,pass,Describes judging a day as failure after plan deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,8,B025,4,4,4,4,4,4,4,low,low,moderate,pass,Describes choosing a snack without considering desire to eat.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,9,B040,4,4,4,4,4,4,4,low,low,moderate,pass,Describes deliberate choice before eating in repeated contexts.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,10,B007,4,4,4,4,4,4,4,low,low,moderate,pass,Describes using another way to soothe an unpleasant feeling.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,11,B005,4,4,4,4,4,4,4,low,low,moderate,pass,Describes redirecting attention after seeing food.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,12,B002,4,3,3,4,4,4,4,moderate,low,moderate,pass,Links sadness eating and perceived brief calming in one statement.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,13,B021,4,4,4,4,4,4,4,low,low,moderate,pass,Uses a stress context and confidence response about following a plan.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_3,14,B009,4,4,4,4,4,4,4,low,none,low,pass,Asks directly about perceived pressure to match prior answers.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
