review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,1,B017,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The statement describes an all-or-nothing failure judgment after a specific plan deviation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,12,B038,4,4,4,4,4,4,4,low,low,low,pass,"Noticing comfortable fullness while eating is a single concrete internal-signal behavior.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,13,B025,4,4,4,4,3,4,4,low,low,low,pass,"Selecting a snack without considering desire directly describes low deliberation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,1,B004,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Pausing to consider continuing is observable but also reflects deliberate self-monitoring.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,2,B011,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The item directly expresses global failure after a small rule violation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,3,B001,3,3,2,4,4,4,4,high,low,low,revise,"Extreme weakness can arise from causes other than delayed hunger awareness and makes the indicator nonspecific.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,4,B014,4,4,3,4,4,4,3,moderate,moderate,moderate,pass,"Eating after anger or frustration is clear although sequence alone does not establish emotional motivation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,5,B041,4,4,3,4,4,4,4,moderate,low,low,pass,"The item separates noticing hunger from difficulty deciding whether to act on it.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,6,B023,4,4,4,4,3,4,4,low,low,low,pass,"Starting to eat without deliberation in a familiar setting directly represents a context trigger.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,7,B028,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Difficulty controlling whether to stop or continue eating directly captures subjective control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,8,B019,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Preparing a simpler plan version is concrete but includes both advance planning and setup behavior.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,9,B030,4,3,4,4,4,4,4,low,low,moderate,pass,"Resuming at the next opportunity is apparent but what counts as one plan occasion is unspecified.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,10,B013,4,4,4,4,3,4,4,low,low,low,pass,"Delayed awareness after eating begins is a direct and singular automaticity indicator.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,11,B027,4,4,4,4,4,4,4,low,low,low,pass,"Deciding to eat because of food smell identifies a specific external cue and response.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,12,B034,4,3,4,4,3,3,4,low,low,low,revise,"The phrase saying the eating action starts itself is less natural and obscures who performs the behavior.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,13,B026,4,3,3,4,4,4,4,moderate,low,moderate,revise,"The time-pressure condition is clear but тохирох сонголт leaves the criterion for an appropriate choice undefined.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,14,B024,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Not continuing the plan at the next meal after a deviation directly represents rebound.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,15,B032,4,3,3,4,4,4,4,moderate,low,moderate,revise,"The contrast between full and partial implementation introduces two performance standards in one confidence judgment.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,1,B020,4,3,4,4,4,4,4,low,low,moderate,pass,"Delay attributed to extensive preparation captures setup burden although the planned action is unspecified.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,2,B031,4,4,4,4,4,4,4,low,low,low,pass,"Noticing hunger before it becomes intense is clear and directly targets early signal awareness.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,3,B002,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Temporary relief from eating while sad describes a specific affect-linked eating consequence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,4,B010,4,4,3,4,4,4,3,moderate,moderate,moderate,pass,"Participation despite body discomfort is a clear inverse avoidance indicator but also reflects willingness.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,5,B009,4,4,4,4,4,4,4,low,low,low,pass,"Feeling compelled to match an earlier response is directly observable during the current questionnaire.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,6,B007,4,4,3,4,4,4,3,moderate,low,moderate,pass,"Self-soothing without eating is clear but also measures broad coping strategy use.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,7,B022,4,3,3,4,4,4,3,moderate,low,moderate,revise,"The social condition is clear but өөрийн сонголт does not specify what eating behavior the respondent evaluates.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,8,B036,4,4,4,4,4,4,4,low,low,low,pass,"Persistent food thoughts after an advertisement link a defined digital cue to a cognitive response.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,9,B021,4,4,4,4,4,4,3,low,low,moderate,pass,"Confidence in following an eating plan on a stressful day is singular and easy to answer.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,10,B016,4,4,3,4,4,4,4,moderate,low,low,pass,"The item distinguishes fullness awareness from difficulty deciding to stop but also touches eating control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,11,B042,4,3,4,4,3,4,4,low,low,low,pass,"The repeated-action trigger and unthinking eating are apparent although the daily action is left unspecified.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,12,B012,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Abandoning the remaining daily plan after a deviation directly describes same-day rebound.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,13,B039,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Choosing whether to eat when food is nearby is clear but also reflects cue reactivity and control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,14,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Avoiding social activity because of body-appearance concern is direct and behaviorally specific.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
